Guaranty Bancshares PE Ratio Historical Data,Guaranty Bancshares PE Ratio Historical Data,Guaranty Bancshares PE Ratio Historical Data,Guaranty Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.19,,21.38
2024-12-31,34.6,$1.88,18.4
2024-09-30,34.38,$2.39,14.38
2024-06-30,31.32,$2.28,13.74
2024-03-31,29.91,$2.44,12.26
2023-12-31,32.86,$2.55,12.89
2023-09-30,27.85,$2.71,10.28
2023-06-30,26.08,$3.08,8.47
2023-03-31,26.61,$3.16,8.42
2022-12-31,32.81,$3.35,9.79
2022-09-30,32.55,$3.43,9.49
2022-06-30,33.9,$3.28,10.34
2022-03-31,32.53,$3.24,10.04
2021-12-31,34.71,$3.30,10.52
2021-09-30,32.94,$3.37,9.78
2021-06-30,31.13,$3.44,9.04
2021-03-31,33.39,$2.69,12.43
2020-12-31,24.59,$2.25,10.95
2020-09-30,20.3,$2.00,10.15
2020-06-30,20.93,$1.75,11.93
2020-03-31,18.57,$2.14,8.69
2019-12-31,26.15,$2.05,12.78
2019-09-30,24.2,$1.97,12.27
2019-06-30,24.49,$1.76,13.89
2019-03-31,22.85,$1.66,13.73
2018-12-31,23.18,$1.61,14.4
2018-09-30,23.36,$1.34,17.48
2018-06-30,25.33,$1.29,19.62
2018-03-31,25.51,$1.27,20.04
