FRP Holdings PE Ratio Historical Data,FRP Holdings PE Ratio Historical Data,FRP Holdings PE Ratio Historical Data,FRP Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.47,,113.88
2024-12-31,30.63,$0.25,122.52
2024-09-30,29.86,$0.40,74.65
2024-06-30,28.52,$0.40,72.2
2024-03-31,30.7,$0.32,97.46
2023-12-31,31.44,$0.28,114.33
2023-09-30,26.99,$0.27,99.94
2023-06-30,28.79,$0.23,125.15
2023-03-31,28.94,$0.24,123.15
2022-12-31,26.93,$0.24,112.21
2022-09-30,27.18,$0.07,418.15
2022-06-30,30.18,$0.06,502.92
2022-03-31,28.9,$0.03,963.33
2021-12-31,28.9,$1.51,19.14
2021-09-30,27.96,$1.56,17.92
2021-06-30,27.84,$1.83,15.25
2021-03-31,24.61,$2.04,12.09
2020-12-31,22.78,$0.60,37.96
2020-09-30,20.84,$0.71,29.55
2020-06-30,20.29,$0.52,39.02
2020-03-31,21.5,$0.80,26.88
2019-12-31,24.91,$0.82,30.56
2019-09-30,24.01,$0.73,33.12
2019-06-30,27.89,$0.74,37.94
2019-03-31,23.79,$6.18,3.85
2018-12-31,23.01,$6.16,3.74
2018-09-30,31.05,$6.78,4.58
2018-06-30,32.38,$7.93,4.09
2018-03-31,28.0,$2.08,13.49
2017-12-31,22.13,$2.07,10.69
2017-09-30,22.63,$1.42,15.99
2017-06-30,23.08,$0.26,90.49
2017-03-31,20.0,$0.21,95.24
2016-12-31,18.85,$0.23,81.96
2016-09-30,15.54,$0.61,25.47
2016-06-30,17.25,$0.51,33.82
2016-03-31,17.8,$0.58,30.96
2015-12-31,16.97,$0.56,30.58
2015-09-30,15.07,$0.32,47.09
2015-06-30,16.22,$0.32,50.67
2015-03-31,18.2,$0.40,46.08
2014-12-31,16.56,$0.42,39.91
2014-09-30,14.33,$0.39,36.74
2014-06-30,14.77,$0.39,37.87
2014-03-31,15.23,$0.37,41.72
2013-12-31,17.53,$0.40,44.39
2013-09-30,14.29,$0.44,32.48
2013-06-30,12.69,$0.44,28.84
2013-03-31,11.75,$0.43,27.65
2012-12-31,12.01,$0.39,30.79
2012-09-30,11.78,$0.34,34.64
2012-06-30,9.94,$0.34,29.23
2012-03-31,9.84,$0.33,30.27
2011-12-31,9.17,$0.33,27.77
2011-09-30,8.54,$0.56,15.38
2011-06-30,9.45,$0.56,17.02
2011-03-31,11.3,$0.57,19.88
2010-12-31,13.09,$0.56,23.58
2010-09-30,9.87,$0.29,34.44
2010-06-30,11.39,$0.29,39.73
2010-03-31,11.89,$0.13,93.88
2009-12-31,13.3,$0.05,265.99
