Usio Inc PE Ratio Historical Data,Usio Inc PE Ratio Historical Data,Usio Inc PE Ratio Historical Data,Usio Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.47,,16.33
2024-09-30,1.36,$0.09,15.11
2024-06-30,1.53,$-0.05,0.0
2024-03-31,1.7,$-0.04,0.0
2023-12-31,1.72,$-0.03,0.0
2023-09-30,1.75,$-0.04,0.0
2023-06-30,1.86,$-0.09,0.0
2023-03-31,1.74,$-0.20,0.0
2022-12-31,1.65,$-0.28,0.0
2022-09-30,1.3,$-0.27,0.0
2022-06-30,2.43,$-0.17,0.0
2022-03-31,3.58,$-0.06,0.0
2021-12-31,4.36,$-0.02,0.0
2021-09-30,5.92,$-0.01,0.0
2021-06-30,6.4,$-0.08,0.0
2021-03-31,6.42,$-0.19,0.0
2020-12-31,2.67,$-0.21,0.0
2020-09-30,1.54,$-0.34,0.0
2020-06-30,1.95,$-0.37,0.0
