First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.37,,10.15
2024-12-31,18.59,$1.81,10.27
2024-09-30,21.01,$1.81,11.61
2024-06-30,18.01,$1.82,9.9
2024-03-31,17.27,$1.75,9.87
2023-12-31,16.05,$1.70,9.44
2023-09-30,13.01,$1.64,7.93
2023-06-30,11.69,$1.58,7.4
2023-03-31,10.79,$1.57,6.88
2022-12-31,11.91,$1.59,7.49
2022-09-30,12.71,$1.54,8.25
2022-06-30,11.9,$1.50,7.93
2022-03-31,11.98,$1.45,8.26
2021-12-31,12.5,$1.32,9.47
2021-09-30,11.84,$1.20,9.87
2021-06-30,10.68,$0.97,11.01
2021-03-31,10.03,$0.73,13.74
2020-12-31,8.16,$0.46,17.74
2020-09-30,4.59,$0.39,11.77
2020-06-30,4.87,$0.47,10.37
2020-03-31,4.6,$0.57,8.07
2019-12-31,9.1,$0.76,11.98
2019-09-30,8.54,$1.06,8.05
2019-06-30,9.41,$1.01,9.32
2019-03-31,9.74,$0.96,10.15
2018-12-31,7.29,$0.91,8.01
2018-09-30,7.72,$0.56,13.78
2018-06-30,6.49,$0.35,18.53
2018-03-31,5.1,$0.34,15.01
2017-12-31,4.32,$0.30,14.42
2017-09-30,4.34,$0.30,14.47
2017-06-30,4.91,$0.46,10.67
2017-03-31,4.79,$0.43,11.14
2016-12-31,5.6,$0.43,13.03
2016-09-30,4.41,$0.39,11.31
2016-06-30,3.37,$0.35,9.62
2016-03-31,2.48,$0.09,27.51
2015-12-31,2.76,$0.10,27.56
2015-09-30,3.02,$1.59,1.9
2015-06-30,4.09,$1.63,2.51
2015-03-31,5.26,$1.90,2.77
2014-12-31,4.98,$1.86,2.68
2014-09-30,4.03,$0.37,10.89
2014-06-30,4.61,$0.34,13.57
2014-03-31,4.61,$-0.37,0.0
2013-12-31,5.25,$-0.80,0.0
2013-09-30,4.82,$-0.80,0.0
2013-06-30,6.0,$-0.79,0.0
2013-03-31,5.28,$-0.14,0.0
2012-12-31,3.88,$0.15,25.89
2012-09-30,3.75,$1.43,2.62
2012-06-30,3.36,$-0.12,0.0
2012-03-31,3.73,$-1.21,0.0
2011-12-31,2.96,$-2.81,0.0
2011-09-30,2.37,$-127.59,0.0
2011-06-30,3.65,$-121.95,0.0
2011-03-31,4.24,$-136.58,0.0
2010-12-31,5.85,$-153.13,0.0
2010-09-30,3.56,$-39.25,0.0
2010-06-30,6.74,$-71.64,0.0
2010-03-31,30.65,$-71.41,0.0
2009-12-31,29.25,$-52.15,0.0
