Personalis PE Ratio Historical Data,Personalis PE Ratio Historical Data,Personalis PE Ratio Historical Data,Personalis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.61,,0.0
2024-12-31,5.78,$-1.37,0.0
2024-09-30,5.38,$-1.68,0.0
2024-06-30,1.17,$-1.64,0.0
2024-03-31,1.49,$-1.90,0.0
2023-12-31,2.1,$-2.25,0.0
2023-09-30,1.21,$-2.38,0.0
2023-06-30,1.88,$-2.36,0.0
2023-03-31,2.76,$-2.46,0.0
2022-12-31,1.98,$-2.48,0.0
2022-09-30,2.97,$-2.26,0.0
2022-06-30,3.45,$-2.08,0.0
2022-03-31,8.19,$-1.82,0.0
2021-12-31,14.27,$-1.48,0.0
2021-09-30,19.24,$-1.37,0.0
2021-06-30,25.3,$-1.24,0.0
2021-03-31,24.61,$-1.19,0.0
2020-12-31,36.61,$-1.19,0.0
2020-09-30,21.67,$-1.06,0.0
2020-06-30,12.97,$-1.01,0.0
2020-03-31,8.07,$-1.61,0.0
