CPB PE Ratio Historical Data,CPB PE Ratio Historical Data,CPB PE Ratio Historical Data,CPB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.93,,13.67
2024-12-31,29.05,$1.97,14.75
2024-09-30,29.27,$2.10,13.94
2024-06-30,20.83,$2.10,9.92
2024-03-31,19.41,$2.05,9.47
2023-12-31,19.07,$2.17,8.79
2023-09-30,15.92,$2.36,6.75
2023-06-30,14.77,$2.48,5.96
2023-03-31,16.54,$2.59,6.39
2022-12-31,18.53,$2.69,6.89
2022-09-30,18.67,$2.75,6.79
2022-06-30,19.13,$2.88,6.64
2022-03-31,24.61,$2.90,8.49
2021-12-31,24.63,$2.84,8.67
2021-09-30,22.25,$2.47,9.01
2021-06-30,22.36,$1.97,11.35
2021-03-31,22.7,$1.66,13.67
2020-12-31,16.01,$1.31,12.22
2020-09-30,11.28,$1.38,8.18
2020-06-30,13.14,$1.65,7.96
2020-03-31,12.85,$1.77,7.26
2019-12-31,23.69,$2.03,11.67
2019-09-30,22.57,$2.07,10.9
2019-06-30,23.61,$2.08,11.35
2019-03-31,22.54,$2.09,10.79
2018-12-31,18.9,$2.02,9.35
2018-09-30,20.51,$1.62,12.66
2018-06-30,22.07,$1.49,14.81
2018-03-31,21.77,$1.40,15.55
2017-12-31,22.67,$1.34,16.91
2017-09-30,24.32,$1.59,15.29
2017-06-30,23.63,$1.57,15.05
2017-03-31,22.8,$1.57,14.52
2016-12-31,23.34,$1.50,15.56
2016-09-30,18.61,$1.45,12.84
2016-06-30,17.33,$1.46,11.87
2016-03-31,15.89,$1.46,10.88
2015-12-31,15.96,$1.40,11.4
2015-09-30,14.9,$1.43,10.42
2015-06-30,16.78,$1.28,13.11
2015-03-31,16.15,$1.14,14.17
2014-12-31,15.04,$1.08,13.92
2014-09-30,12.47,$0.95,13.13
2014-06-30,13.73,$0.96,14.3
2014-03-31,13.92,$1.05,13.25
2013-12-31,13.78,$4.07,3.39
2013-09-30,12.1,$4.12,2.94
2013-06-30,12.24,$4.14,2.96
2013-03-31,10.68,$4.06,2.63
2012-12-31,10.6,$1.13,9.38
2012-09-30,9.73,$1.13,8.61
2012-06-30,9.6,$1.15,8.35
2012-03-31,8.81,$1.09,8.08
2011-12-31,8.79,$5.35,1.64
2011-09-30,7.02,$2.26,3.11
2011-06-30,9.52,$-47.22,0.0
2011-03-31,14.15,$-59.42,0.0
2010-12-31,20.81,$-171.20,0.0
2010-09-30,19.45,$-221.20,0.0
2010-06-30,20.4,$-299.60,0.0
2010-03-31,22.85,$-313.00,0.0
2009-12-31,17.82,$-205.20,0.0
