Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.91,,40.06
2024-12-31,77.31,$1.92,40.27
2024-09-30,72.79,$1.67,43.59
2024-06-30,59.89,$1.74,34.42
2024-03-31,62.45,$1.90,32.87
2023-12-31,57.33,$2.11,27.17
2023-09-30,47.72,$2.23,21.4
2023-06-30,48.75,$2.22,21.96
2023-03-31,53.24,$2.30,23.18
2022-12-31,59.52,$2.25,26.41
2022-09-30,54.83,$2.28,24.01
2022-06-30,49.03,$2.26,21.72
2022-03-31,57.05,$2.32,24.55
2021-12-31,67.01,$2.35,28.52
2021-09-30,61.43,$2.29,26.86
2021-06-30,55.8,$2.25,24.8
2021-03-31,46.65,$2.05,22.76
2020-12-31,41.85,$1.86,22.46
2020-09-30,38.54,$1.82,21.18
2020-06-30,37.37,$1.59,23.46
2020-03-31,29.58,$1.46,20.3
2019-12-31,33.18,$1.54,21.5
2019-09-30,30.64,$1.05,29.19
2019-06-30,29.52,$1.07,27.51
2019-03-31,26.73,$1.05,25.46
2018-12-31,24.79,$0.91,27.34
2018-09-30,25.94,$1.48,17.53
2018-06-30,27.47,$1.49,18.39
2018-03-31,25.83,$1.46,17.69
2017-12-31,22.91,$1.44,15.91
2017-09-30,23.02,$0.51,45.43
2017-06-30,21.11,$0.43,49.46
2017-03-31,20.39,$0.28,73.71
2016-12-31,19.62,$0.21,94.93
2016-09-30,19.65,$0.95,20.69
2016-06-30,18.73,$0.96,19.51
2016-03-31,19.13,$1.08,17.77
2015-12-31,16.7,$0.83,20.04
2015-09-30,15.24,$0.71,21.57
2015-06-30,13.88,$0.68,20.51
2015-03-31,14.42,$0.62,23.38
2014-12-31,13.53,$0.80,16.98
2014-09-30,11.93,$0.90,13.26
2014-06-30,10.82,$0.88,12.25
2014-03-31,10.31,$0.86,11.99
2013-12-31,11.07,$0.75,14.83
2013-09-30,8.9,$0.64,13.84
2013-06-30,9.05,$0.60,15.18
2013-03-31,8.88,$0.60,14.8
2012-12-31,6.84,$0.68,10.11
2012-09-30,6.34,$0.66,9.61
2012-06-30,6.14,$0.69,8.9
2012-03-31,6.98,$0.68,10.21
2011-12-31,6.6,$0.71,9.25
2011-09-30,6.23,$0.79,7.86
2011-06-30,6.81,$0.76,9.0
2011-03-31,6.96,$0.74,9.4
2010-12-31,6.39,$0.64,9.93
2010-09-30,5.23,$0.48,10.9
2010-06-30,4.79,$0.41,11.78
2010-03-31,5.69,$0.36,15.66
2009-12-31,5.34,$0.42,12.81
