KBR PE Ratio Historical Data,KBR PE Ratio Historical Data,KBR PE Ratio Historical Data,KBR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.04,,17.87
2024-12-31,57.93,$2.80,20.69
2024-09-30,64.96,$2.38,27.3
2024-06-30,63.82,$1.47,43.42
2024-03-31,63.19,$-1.92,0.0
2023-12-31,54.87,$-2.05,0.0
2023-09-30,58.22,$-1.58,0.0
2023-06-30,64.12,$-0.93,0.0
2023-03-31,54.14,$2.28,23.75
2022-12-31,51.8,$1.21,42.81
2022-09-30,42.3,$1.05,40.29
2022-06-30,47.25,$0.94,50.26
2022-03-31,53.3,$-0.75,0.0
2021-12-31,46.28,$0.09,514.18
2021-09-30,38.19,$-0.24,0.0
2021-06-30,36.88,$-0.26,0.0
2021-03-31,36.9,$0.54,68.33
2020-12-31,29.73,$-0.52,0.0
2020-09-30,21.41,$-0.25,0.0
2020-06-30,21.51,$-0.22,0.0
2020-03-31,19.65,$0.40,49.12
2019-12-31,28.82,$1.41,20.44
2019-09-30,23.12,$1.32,17.52
2019-06-30,23.43,$1.34,17.48
2019-03-31,17.87,$1.30,13.75
2018-12-31,14.15,$1.99,7.11
2018-09-30,19.6,$3.62,5.41
2018-06-30,16.56,$3.53,4.69
2018-03-31,14.89,$3.77,3.95
2017-12-31,18.15,$3.06,5.93
2017-09-30,16.3,$0.51,31.96
2017-06-30,13.81,$-0.25,0.0
2017-03-31,13.56,$-0.47,0.0
2016-12-31,14.98,$-0.43,0.0
2016-09-30,13.52,$0.47,28.76
2016-06-30,11.76,$1.29,9.12
2016-03-31,13.68,$1.40,9.77
2015-12-31,14.87,$1.40,10.62
2015-09-30,14.58,$-7.46,0.0
2015-06-30,16.96,$-7.63,0.0
2015-03-31,12.56,$-8.12,0.0
2014-12-31,14.62,$-8.71,0.0
2014-09-30,16.16,$0.04,404.06
2014-06-30,20.39,$-0.01,0.0
2014-03-31,22.75,$0.66,34.46
2013-12-31,27.11,$1.54,17.6
2013-09-30,27.67,$1.56,17.74
2013-06-30,27.49,$0.85,32.34
2013-03-31,27.07,$0.94,28.79
2012-12-31,25.18,$0.96,26.23
2012-09-30,25.05,$1.36,18.42
2012-06-30,20.72,$3.14,6.6
2012-03-31,29.76,$3.09,9.63
2011-12-31,23.3,$3.17,7.35
2011-09-30,19.71,$3.08,6.4
2011-06-30,31.39,$2.47,12.71
2011-03-31,31.41,$2.48,12.67
2010-12-31,25.3,$2.08,12.16
2010-09-30,20.43,$2.02,10.11
2010-06-30,16.83,$1.85,9.1
2010-03-31,18.29,$1.61,11.36
2009-12-31,15.65,$1.80,8.69
