Vacasa PE Ratio Historical Data,Vacasa PE Ratio Historical Data,Vacasa PE Ratio Historical Data,Vacasa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.4,,0.0
2024-12-31,4.9,$-4.85,0.0
2024-09-30,2.81,$-8.33,0.0
2024-06-30,4.87,$-28.80,0.0
2024-03-31,6.82,$-28.41,0.0
2023-12-31,8.2,$-24.05,0.0
2023-09-30,0.46,$-34.57,0.0
2023-06-30,0.68,$-15.40,0.0
2023-03-31,0.96,$-14.80,0.0
2022-12-31,1.26,$-15.40,0.0
2022-09-30,3.07,$-2.60,0.0
