XOMA Royalty PE Ratio Historical Data,XOMA Royalty PE Ratio Historical Data,XOMA Royalty PE Ratio Historical Data,XOMA Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.06,,0.0
2024-09-30,26.48,$-3.48,0.0
2024-06-30,23.69,$-2.49,0.0
2024-03-31,24.05,$-3.92,0.0
2023-12-31,18.5,$-4.04,0.0
2023-09-30,14.09,$-2.81,0.0
2023-06-30,18.89,$-2.69,0.0
2023-03-31,21.11,$-2.63,0.0
2022-12-31,18.4,$-1.97,0.0
2022-09-30,17.91,$0.34,52.68
2022-06-30,22.28,$0.31,71.87
2022-03-31,27.98,$0.53,52.79
2021-12-31,20.85,$0.15,139.0
2021-09-30,24.75,$-0.20,0.0
2021-06-30,34.0,$0.21,161.9
2021-03-31,40.81,$0.19,214.79
2020-12-31,44.13,$0.40,110.33
2020-09-30,18.84,$-1.41,0.0
2020-06-30,19.76,$-1.11,0.0
2020-03-31,20.35,$-1.25,0.0
2019-12-31,27.3,$-0.55,0.0
2019-09-30,19.71,$-0.41,0.0
2019-06-30,14.86,$-1.16,0.0
2019-03-31,12.38,$-0.92,0.0
2018-12-31,12.65,$-1.59,0.0
2018-09-30,17.57,$-1.40,0.0
2018-06-30,20.88,$1.13,18.48
2018-03-31,20.23,$1.38,14.66
2017-12-31,35.6,$-0.53,0.0
2017-09-30,19.65,$-3.26,0.0
2017-06-30,6.99,$-7.32,0.0
2017-03-31,7.11,$-9.94,0.0
2016-12-31,4.22,$-8.97,0.0
2016-09-30,9.18,$-1.88,0.0
2016-06-30,11.03,$0.20,55.13
2016-03-31,15.46,$-1.20,0.0
2015-12-31,26.6,$-3.60,0.0
2015-09-30,15.0,$-10.20,0.0
2015-06-30,77.6,$-13.60,0.0
2015-03-31,72.8,$-13.00,0.0
2014-12-31,71.8,$-10.00,0.0
2014-09-30,84.2,$-18.60,0.0
2014-06-30,91.8,$-22.00,0.0
2014-03-31,104.2,$-22.80,0.0
2013-12-31,134.6,$-28.00,0.0
2013-09-30,89.8,$-16.40,0.0
2013-06-30,72.6,$-17.40,0.0
2013-03-31,69.8,$-18.00,0.0
2012-12-31,48.0,$-25.80,0.0
2012-09-30,73.8,$-33.20,0.0
2012-06-30,59.6,$-29.40,0.0
2012-03-31,55.4,$-30.00,0.0
2011-12-31,23.0,$-20.60,0.0
2011-09-30,35.0,$-30.60,0.0
2011-06-30,47.0,$-40.40,0.0
2011-03-31,55.8,$-52.99,0.0
2010-12-31,102.6,$-75.58,0.0
2010-09-30,61.0,$-55.78,0.0
2010-06-30,124.2,$-38.98,0.0
2010-03-31,171.33,$-41.98,0.0
2009-12-31,209.64,$-3.00,0.0
