3D Systems PE Ratio Historical Data,3D Systems PE Ratio Historical Data,3D Systems PE Ratio Historical Data,3D Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.56,,0.0
2024-09-30,2.84,$-3.98,0.0
2024-06-30,3.07,$-2.72,0.0
2024-03-31,4.44,$-2.73,0.0
2023-12-31,6.35,$-2.84,0.0
2023-09-30,4.91,$-0.74,0.0
2023-06-30,9.93,$-0.95,0.0
2023-03-31,10.72,$-0.99,0.0
2022-12-31,7.4,$-0.97,0.0
2022-09-30,7.98,$-0.82,0.0
2022-06-30,9.7,$1.82,5.33
2022-03-31,16.68,$2.00,8.34
2021-12-31,21.54,$2.57,8.38
2021-09-30,27.57,$2.46,11.21
2021-06-30,39.97,$-0.49,0.0
2021-03-31,27.44,$-0.74,0.0
2020-12-31,10.48,$-1.27,0.0
2020-09-30,4.91,$-1.15,0.0
2020-06-30,6.99,$-0.69,0.0
2020-03-31,7.71,$-0.57,0.0
2019-12-31,8.75,$-0.62,0.0
2019-09-30,8.15,$-0.62,0.0
2019-06-30,9.1,$-0.57,0.0
2019-03-31,10.76,$-0.44,0.0
2018-12-31,10.17,$-0.41,0.0
2018-09-30,18.9,$-0.45,0.0
2018-06-30,13.81,$-0.69,0.0
2018-03-31,11.59,$-0.69,0.0
2017-12-31,8.64,$-0.59,0.0
2017-09-30,13.39,$-0.46,0.0
2017-06-30,18.7,$-0.31,0.0
2017-03-31,14.96,$-0.27,0.0
2016-12-31,13.29,$-0.34,0.0
2016-09-30,17.95,$-5.71,0.0
2016-06-30,13.69,$-5.81,0.0
2016-03-31,15.47,$-5.89,0.0
2015-12-31,8.69,$-5.85,0.0
2015-09-30,11.55,$-0.52,0.0
2015-06-30,19.52,$-0.20,0.0
2015-03-31,27.42,$-0.06,0.0
2014-12-31,32.87,$0.11,298.82
2014-09-30,46.37,$0.21,220.81
2014-06-30,59.8,$0.35,170.86
2014-03-31,59.15,$0.43,137.56
2013-12-31,92.93,$0.44,211.2
2013-09-30,53.99,$0.46,117.37
2013-06-30,43.9,$0.45,97.56
2013-03-31,32.24,$0.46,70.09
2012-12-31,35.57,$0.48,74.1
2012-09-30,21.9,$0.46,47.95
2012-06-30,22.76,$0.39,58.36
2012-03-31,15.69,$0.45,34.62
2011-12-31,9.6,$0.47,20.57
2011-09-30,9.33,$0.49,18.91
2011-06-30,13.14,$0.48,27.57
2011-03-31,16.18,$0.34,47.12
2010-12-31,10.5,$0.28,37.49
2010-09-30,5.24,$0.20,26.18
2010-06-30,4.18,$0.14,30.62
2010-03-31,4.55,$0.08,59.4
2009-12-31,3.77,$0.02,226.91
