Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.1,,33.67
2024-12-31,13.24,$0.30,44.13
2024-09-30,11.06,$0.59,18.75
2024-06-30,10.57,$0.58,18.23
2024-03-31,9.06,$0.65,13.94
2023-12-31,7.39,$0.73,10.13
2023-09-30,7.68,$0.53,14.49
2023-06-30,7.78,$0.61,12.75
2023-03-31,6.64,$0.54,12.3
2022-12-31,8.76,$0.49,17.88
2022-09-30,6.58,$0.52,12.64
2022-06-30,6.43,$0.16,40.21
2022-03-31,8.08,$-0.16,0.0
2021-12-31,5.88,$-0.50,0.0
2021-09-30,4.9,$-0.81,0.0
2021-06-30,5.7,$-1.03,0.0
2021-03-31,4.7,$-1.36,0.0
2020-12-31,3.87,$-3.95,0.0
2020-09-30,3.62,$-3.86,0.0
2020-06-30,4.62,$-3.43,0.0
2020-03-31,3.05,$-2.83,0.0
2019-12-31,8.75,$0.04,218.86
2019-09-30,8.17,$-0.01,0.0
2019-06-30,10.95,$0.21,52.15
2019-03-31,11.34,$0.37,30.65
2018-12-31,5.96,$0.51,11.69
2018-09-30,11.17,$0.50,22.34
2018-06-30,13.71,$0.25,54.83
2018-03-31,11.91,$-0.15,0.0
