Polar Power PE Ratio Historical Data,Polar Power PE Ratio Historical Data,Polar Power PE Ratio Historical Data,Polar Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.71,,0.0
2024-09-30,3.34,$-2.31,0.0
2024-06-30,2.79,$-3.29,0.0
2024-03-31,3.89,$-3.71,0.0
2023-12-31,2.85,$-3.50,0.0
2023-09-30,7.77,$-2.52,0.0
2023-06-30,9.17,$-2.87,0.0
2023-03-31,9.24,$-3.08,0.0
2022-12-31,9.03,$-3.15,0.0
2022-09-30,17.29,$-2.45,0.0
2022-06-30,18.76,$-0.63,0.0
2022-03-31,22.4,$-0.70,0.0
2021-12-31,25.06,$-1.05,0.0
2021-09-30,38.78,$-3.36,0.0
2021-06-30,65.59,$-6.79,0.0
2021-03-31,97.23,$-7.91,0.0
2020-12-31,33.43,$-7.00,0.0
2020-09-30,22.12,$-7.98,0.0
2020-06-30,34.72,$-5.04,0.0
2020-03-31,8.66,$-3.01,0.0
2019-12-31,16.66,$-2.80,0.0
2019-09-30,21.98,$0.49,44.87
2019-06-30,29.12,0,0.0
2019-03-31,31.57,$-0.28,0.0
2018-12-31,33.81,$-0.56,0.0
2018-09-30,35.84,$-0.98,0.0
2018-06-30,42.77,$-0.77,0.0
2018-03-31,34.94,$-1.12,0.0
2017-12-31,35.07,$-0.49,0.0
2017-09-30,33.53,$-0.07,0.0
