Orion Energy Systems PE Ratio Historical Data,Orion Energy Systems PE Ratio Historical Data,Orion Energy Systems PE Ratio Historical Data,Orion Energy Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.75,,0.0
2024-12-31,0.8,$-0.23,0.0
2024-09-30,0.86,$-0.25,0.0
2024-06-30,1.11,$-0.28,0.0
2024-03-31,0.87,$-0.37,0.0
2023-12-31,0.87,$-0.58,0.0
2023-09-30,1.26,$-1.26,0.0
2023-06-30,1.63,$-1.20,0.0
2023-03-31,2.03,$-1.08,0.0
2022-12-31,1.82,$-0.96,0.0
2022-09-30,1.56,$-0.17,0.0
2022-06-30,2.01,$0.03,67.0
2022-03-31,2.8,$0.20,14.0
2021-12-31,3.62,$0.95,3.81
2021-09-30,3.89,$1.05,3.7
2021-06-30,5.73,$0.99,5.79
2021-03-31,6.96,$0.84,8.29
2020-12-31,9.87,$0.11,89.73
2020-09-30,7.57,$0.04,189.25
2020-06-30,3.46,$0.20,17.3
2020-03-31,3.7,$0.40,9.25
2019-12-31,3.35,$0.39,8.59
2019-09-30,2.85,$0.30,9.5
2019-06-30,2.97,0,0.0
2019-03-31,0.89,$-0.22,0.0
2018-12-31,0.57,$-0.24,0.0
2018-09-30,0.96,$-0.27,0.0
2018-06-30,1.1,$-0.32,0.0
2018-03-31,0.85,$-0.46,0.0
2017-12-31,0.88,$-0.67,0.0
2017-09-30,1.12,$-0.66,0.0
2017-06-30,1.28,$-0.56,0.0
2017-03-31,1.98,$-0.44,0.0
2016-12-31,2.17,$-0.57,0.0
2016-09-30,1.33,$-0.60,0.0
2016-06-30,1.16,$-0.70,0.0
2016-03-31,1.39,$-0.72,0.0
2015-12-31,2.17,$-0.52,0.0
2015-09-30,1.8,$-0.66,0.0
2015-06-30,2.51,$-1.37,0.0
2015-03-31,3.14,$-1.28,0.0
2014-12-31,5.5,$-1.50,0.0
2014-09-30,5.35,$-1.24,0.0
2014-06-30,4.07,$-0.29,0.0
2014-03-31,7.25,$-0.29,0.0
2013-12-31,6.8,$0.15,45.33
2013-09-30,3.76,$0.13,28.92
2013-06-30,2.48,$-0.44,0.0
2013-03-31,2.48,$-0.49,0.0
2012-12-31,1.66,$-0.53,0.0
2012-09-30,1.98,$-0.56,0.0
2012-06-30,2.2,$-0.10,0.0
2012-03-31,2.38,$-0.02,0.0
2011-12-31,2.95,$0.07,42.14
2011-09-30,2.65,$0.10,26.5
2011-06-30,3.93,$0.09,43.67
2011-03-31,4.04,$0.05,80.7
2010-12-31,3.34,$-0.07,0.0
2010-09-30,3.17,$-0.06,0.0
2010-06-30,3.16,$-0.11,0.0
2010-03-31,4.9,$-0.19,0.0
2009-12-31,4.39,$-0.20,0.0
