Pasithea Therapeutics PE Ratio Historical Data,Pasithea Therapeutics PE Ratio Historical Data,Pasithea Therapeutics PE Ratio Historical Data,Pasithea Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.18,,0.0
2024-09-30,5.42,$-10.28,0.0
2024-06-30,5.06,$-10.21,0.0
2024-03-31,7.25,$-6.50,0.0
2023-12-31,0.37,$-2.80,0.0
2023-09-30,0.48,$-2.80,0.0
2023-06-30,0.49,0,0.0
2023-03-31,0.38,0,0.0
2022-12-31,0.64,0,0.0
2022-09-30,1.26,0,0.0
2022-06-30,1.01,0,0.0
