Coda Octopus Group PE Ratio Historical Data,Coda Octopus Group PE Ratio Historical Data,Coda Octopus Group PE Ratio Historical Data,Coda Octopus Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.73,,24.94
2025-01-31,8.05,$0.27,29.81
2024-10-31,8.53,$0.33,25.85
2024-07-31,7.32,$0.27,27.11
2024-04-30,6.65,$0.25,26.6
2024-01-31,5.28,$0.21,25.14
2023-10-31,6.6,$0.27,24.44
2023-07-31,8.67,$0.36,24.08
2023-04-30,7.99,$0.43,18.58
2023-01-31,7.22,$0.39,18.51
2022-10-31,6.42,$0.38,16.89
2022-07-31,4.97,$0.33,15.06
2022-04-30,5.71,$0.30,19.03
2022-01-31,6.74,$0.45,14.98
2021-10-31,8.44,$0.44,19.18
2021-07-31,9.01,$0.54,16.69
2021-04-30,8.0,$0.50,16.0
2021-01-31,6.13,$0.28,21.89
2020-10-31,5.52,$0.31,17.81
2020-07-31,5.77,$0.22,26.23
2020-04-30,6.1,$0.30,20.33
2020-01-31,6.29,$0.50,12.58
2019-10-31,7.34,$0.49,14.98
2019-07-31,11.84,$0.79,14.99
2019-04-30,15.3,$0.81,18.89
2019-01-31,6.29,$0.62,10.15
2018-10-31,6.08,$0.52,11.69
2018-07-31,4.63,$0.13,35.62
2018-04-30,4.01,$0.06,66.83
