Bullfrog AI Holdings PE Ratio Historical Data,Bullfrog AI Holdings PE Ratio Historical Data,Bullfrog AI Holdings PE Ratio Historical Data,Bullfrog AI Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.8,,0.0
2024-12-31,2.0,$-0.86,0.0
2024-09-30,2.87,$-0.85,0.0
2024-06-30,1.73,$-0.84,0.0
2024-03-31,3.21,$-0.88,0.0
2023-12-31,3.26,$-0.89,0.0
