Park National PE Ratio Historical Data,Park National PE Ratio Historical Data,Park National PE Ratio Historical Data,Park National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,153.85,,16.53
2024-12-31,171.43,$9.31,18.41
2024-09-30,166.63,$8.45,19.72
2024-06-30,140.29,$8.38,16.74
2024-03-31,132.9,$7.90,16.82
2023-12-31,128.94,$7.80,16.53
2023-09-30,90.88,$8.31,10.94
2023-06-30,97.41,$8.60,11.33
2023-03-31,111.75,$8.76,12.76
2022-12-31,131.57,$9.07,14.51
2022-09-30,115.14,$9.28,12.41
2022-06-30,111.32,$8.87,12.55
2022-03-31,119.52,$9.15,13.06
2021-12-31,123.94,$9.38,13.21
2021-09-30,109.12,$9.90,11.02
2021-06-30,104.16,$9.62,10.83
2021-03-31,113.76,$9.04,12.58
2020-12-31,91.42,$7.79,11.74
2020-09-30,70.67,$6.49,10.89
2020-06-30,59.97,$6.50,9.23
2020-03-31,65.18,$6.03,10.81
2019-12-31,84.91,$6.29,13.5
2019-09-30,77.85,$6.51,11.96
2019-06-30,80.7,$6.18,13.06
2019-03-31,76.15,$6.68,11.4
2018-12-31,67.44,$7.08,9.53
2018-09-30,82.95,$6.89,12.04
2018-06-30,86.8,$6.77,12.82
2018-03-31,79.99,$6.18,12.94
2017-12-31,79.46,$5.47,14.53
2017-09-30,81.78,$5.29,15.46
2017-06-30,77.8,$5.63,13.82
2017-03-31,78.17,$5.69,13.74
2016-12-31,88.14,$5.59,15.77
2016-09-30,70.14,$5.65,12.41
2016-06-30,66.37,$5.17,12.84
2016-03-31,64.42,$5.24,12.29
2015-12-31,64.04,$5.26,12.18
2015-09-30,63.23,$5.48,11.54
2015-06-30,60.57,$5.37,11.28
2015-03-31,58.66,$5.42,10.82
2014-12-31,60.0,$5.46,10.99
2014-09-30,50.56,$5.01,10.09
2014-06-30,51.13,$5.05,10.12
2014-03-31,50.27,$4.93,10.2
2013-12-31,54.93,$5.00,10.99
2013-09-30,50.47,$4.93,10.24
2013-06-30,43.39,$4.48,9.69
2013-03-31,43.45,$4.28,10.15
2012-12-31,39.68,$4.89,8.11
2012-09-30,42.35,$4.59,9.23
2012-06-30,41.62,$4.90,8.49
2012-03-31,40.69,$5.02,8.11
2011-12-31,37.77,$4.36,8.66
2011-09-30,30.2,$4.33,6.97
2011-06-30,36.93,$4.43,8.34
2011-03-31,36.94,$4.51,8.19
2010-12-31,39.6,$4.52,8.76
2010-09-30,34.42,$4.53,7.6
2010-06-30,34.43,$4.59,7.5
2010-03-31,32.51,$4.71,6.9
2009-12-31,30.22,$4.84,6.24
