Oak Valley Bancorp (CA) PE Ratio Historical Data,Oak Valley Bancorp (CA) PE Ratio Historical Data,Oak Valley Bancorp (CA) PE Ratio Historical Data,Oak Valley Bancorp (CA) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.33,,8.11
2024-09-30,26.57,$3.00,8.86
2024-06-30,24.76,$3.00,8.25
2024-03-31,24.58,$3.31,7.42
2023-12-31,29.46,$3.74,7.88
2023-09-30,24.67,$4.18,5.9
2023-06-30,24.63,$4.12,5.98
2023-03-31,23.14,$3.62,6.39
2022-12-31,22.01,$2.79,7.89
2022-09-30,17.36,$2.06,8.43
2022-06-30,16.57,$1.79,9.26
2022-03-31,17.78,$1.75,10.16
2021-12-31,16.63,$1.99,8.36
2021-09-30,16.76,$2.14,7.83
2021-06-30,17.22,$2.04,8.44
2021-03-31,16.25,$1.88,8.65
2020-12-31,15.61,$1.68,9.29
2020-09-30,10.76,$1.50,7.17
2020-06-30,11.78,$1.44,8.18
2020-03-31,14.62,$1.49,9.81
2019-12-31,17.94,$1.54,11.65
2019-09-30,15.46,$1.52,10.17
2019-06-30,17.9,$1.51,11.85
2019-03-31,16.15,$1.46,11.06
2018-12-31,16.63,$1.43,11.63
2018-09-30,17.85,$1.26,14.17
2018-06-30,20.66,$1.18,17.51
2018-03-31,20.14,$1.21,16.65
2017-12-31,17.54,$1.13,15.53
2017-09-30,15.08,$1.22,12.36
2017-06-30,12.38,$1.15,10.76
2017-03-31,11.76,$1.04,11.3
2016-12-31,11.08,$0.96,11.54
2016-09-30,9.01,$0.73,12.34
2016-06-30,8.51,$0.66,12.89
2016-03-31,8.09,$0.61,13.26
2015-12-31,8.96,$0.61,14.69
2015-09-30,8.15,$0.75,10.87
2015-06-30,8.4,$0.77,10.91
2015-03-31,8.4,$0.90,9.34
2014-12-31,8.57,$0.89,9.63
2014-09-30,8.46,$0.91,9.3
2014-06-30,8.32,$0.91,9.15
2014-03-31,7.89,$0.77,10.24
2013-12-31,6.93,$0.75,9.25
2013-09-30,6.6,$0.71,9.29
2013-06-30,6.35,$0.70,9.08
2013-03-31,6.74,$0.68,9.92
2012-12-31,6.17,$0.69,8.95
2012-09-30,6.21,$0.68,9.13
2012-06-30,5.77,$0.65,8.87
2012-03-31,6.12,$0.65,9.42
2011-12-31,5.59,$0.60,9.32
2011-09-30,3.36,$0.60,5.59
2011-06-30,4.85,$0.57,8.5
2011-03-31,4.96,$0.52,9.54
2010-12-31,4.89,$0.50,9.78
2010-09-30,4.47,$0.40,11.19
2010-06-30,4.35,$0.37,11.76
2010-03-31,3.4,$0.23,14.77
2009-12-31,3.65,$0.13,28.11
