Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.51,,14.59
2024-12-31,71.27,$4.90,14.54
2024-09-30,69.85,$4.23,16.51
2024-06-30,63.58,$3.73,17.05
2024-03-31,73.02,$3.79,19.27
2023-12-31,60.55,$1.34,45.19
2023-09-30,39.29,$1.40,28.06
2023-06-30,39.79,$-7.39,0.0
2023-03-31,29.51,$-5.69,0.0
2022-12-31,32.91,$-3.29,0.0
2022-09-30,27.07,$-3.81,0.0
2022-06-30,23.8,$4.49,5.3
2022-03-31,16.96,$2.20,7.71
2021-12-31,24.02,$1.29,18.62
2021-09-30,20.68,$1.48,13.97
2021-06-30,21.47,$1.59,13.5
2021-03-31,22.69,$1.78,12.75
2020-12-31,16.96,$1.48,11.46
2020-09-30,16.2,$1.17,13.85
2020-06-30,15.3,$1.13,13.54
2020-03-31,10.41,$0.94,11.07
2019-12-31,16.66,$0.89,18.72
2019-09-30,17.13,$0.86,19.92
2019-06-30,13.77,$0.45,30.59
2019-03-31,14.96,$0.28,53.43
2018-12-31,8.43,$2.42,3.48
2018-09-30,12.95,$2.93,4.42
2018-06-30,14.22,$2.68,5.3
2018-03-31,14.53,$2.76,5.26
2017-12-31,15.3,$0.77,19.87
2017-09-30,16.64,$0.34,48.95
2017-06-30,16.4,$0.81,20.25
2017-03-31,18.37,$0.77,23.86
2016-12-31,19.48,$0.79,24.66
2016-09-30,12.62,$0.69,18.28
2016-06-30,12.47,$0.75,16.62
2016-03-31,11.39,$0.80,14.24
2015-12-31,13.08,$0.77,16.98
2015-09-30,11.56,$0.74,15.62
2015-06-30,11.64,$0.66,17.63
2015-03-31,12.71,$0.72,17.65
2014-12-31,9.68,$0.08,120.94
2014-09-30,8.26,$-0.02,0.0
2014-06-30,8.97,$-0.17,0.0
2014-03-31,8.61,$-0.40,0.0
2013-12-31,9.51,$0.11,86.42
2013-09-30,9.0,$0.06,150.05
2013-06-30,8.06,$0.11,73.24
2013-03-31,8.51,$0.21,40.54
2012-12-31,8.16,$0.27,30.24
2012-09-30,7.31,$0.30,24.38
2012-06-30,6.08,$0.30,20.27
2012-03-31,7.56,$0.22,34.38
2011-12-31,6.44,$-0.06,0.0
2011-09-30,5.76,$-0.13,0.0
2011-06-30,7.09,$-0.22,0.0
2011-03-31,9.24,$-0.22,0.0
2010-12-31,8.97,$0.05,179.34
2010-09-30,8.58,$0.15,57.2
2010-06-30,7.78,$0.39,19.96
2010-03-31,8.77,$0.43,20.4
2009-12-31,8.6,$0.39,22.05
