Local Bounti PE Ratio Historical Data,Local Bounti PE Ratio Historical Data,Local Bounti PE Ratio Historical Data,Local Bounti PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.98,,0.0
2024-09-30,2.5,$-18.00,0.0
2024-06-30,2.79,$-17.01,0.0
2024-03-31,2.91,$-15.36,0.0
2023-12-31,2.07,$-15.46,0.0
2023-09-30,2.45,$-11.26,0.0
2023-06-30,2.72,$-12.14,0.0
2023-03-31,0.8,$-15.47,0.0
2022-12-31,1.39,$-16.65,0.0
2022-09-30,2.84,$-12.74,0.0
2022-06-30,3.18,$-7.54,0.0
2022-03-31,8.49,$-2.86,0.0
