CrossAmerica Partners LP PE Ratio Historical Data,CrossAmerica Partners LP PE Ratio Historical Data,CrossAmerica Partners LP PE Ratio Historical Data,CrossAmerica Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.81,,45.79
2024-12-31,22.0,$0.52,42.31
2024-09-30,20.2,$0.52,38.85
2024-06-30,18.83,$0.56,33.63
2024-03-31,21.13,$0.61,34.65
2023-12-31,20.66,$1.05,19.68
2023-09-30,19.21,$1.06,18.13
2023-06-30,16.99,$1.46,11.64
2023-03-31,18.08,$1.45,12.47
2022-12-31,16.29,$1.62,10.05
2022-09-30,14.93,$1.51,9.89
2022-06-30,15.79,$1.03,15.33
2022-03-31,16.55,$0.81,20.44
2021-12-31,14.11,$0.58,24.34
2021-09-30,14.37,$0.50,28.74
2021-06-30,13.41,$0.83,16.15
2021-03-31,12.74,$0.84,15.17
2020-12-31,11.45,$2.94,3.89
2020-09-30,9.55,$2.82,3.39
2020-06-30,8.33,$2.46,3.39
2020-03-31,4.82,$2.50,1.93
2019-12-31,10.51,$0.50,21.02
2019-09-30,9.65,$0.60,16.09
2019-06-30,8.81,$0.55,16.01
2019-03-31,10.02,$0.16,62.62
2018-12-31,7.53,$0.10,75.32
2018-09-30,9.32,$0.47,19.83
2018-06-30,8.45,$0.41,20.6
2018-03-31,9.99,$0.47,21.25
2017-12-31,11.24,$0.55,20.44
2017-09-30,12.58,0,0.0
2017-06-30,11.51,$-0.03,0.0
2017-03-31,11.52,$0.20,57.62
2016-12-31,10.84,$0.21,51.6
2016-09-30,10.67,$0.28,38.11
2016-06-30,10.05,$0.51,19.7
2016-03-31,9.73,$0.42,23.17
2015-12-31,10.06,$0.26,38.7
2015-09-30,8.65,$-0.45,0.0
2015-06-30,10.47,$-0.53,0.0
2015-03-31,11.84,$-0.42,0.0
2014-12-31,14.44,$-0.22,0.0
2014-09-30,12.0,$0.63,19.04
2014-06-30,9.35,$0.75,12.47
2014-03-31,9.2,$1.01,9.11
2013-12-31,9.59,$1.19,8.06
2013-09-30,9.22,$0.87,10.59
