HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,333.52,,15.18
2024-12-31,300.15,$21.97,13.66
2024-09-30,405.58,$22.27,18.21
2024-06-30,320.08,$21.30,15.03
2024-03-31,331.64,$20.06,16.53
2023-12-31,268.6,$18.98,14.15
2023-09-30,243.54,$20.33,11.98
2023-06-30,299.79,$20.33,14.75
2023-03-31,259.93,$19.94,13.04
2022-12-31,235.99,$19.23,12.27
2022-09-30,180.33,$17.70,10.19
2022-06-30,164.46,$20.79,7.91
2022-03-31,244.5,$21.25,11.51
2021-12-31,250.12,$21.25,11.77
2021-09-30,235.83,$19.63,12.01
2021-06-30,200.5,$14.58,13.75
2021-03-31,182.23,$13.38,13.62
2020-12-31,158.72,$10.93,14.52
2020-09-30,120.06,$9.89,12.14
2020-06-30,93.46,$9.70,9.64
2020-03-31,86.52,$8.79,9.84
2019-12-31,141.85,$10.07,14.09
2019-09-30,115.23,$9.99,11.53
2019-06-30,128.92,$10.38,12.42
2019-03-31,123.94,$10.44,11.87
2018-12-31,117.96,$10.65,11.08
2018-09-30,131.55,$8.94,14.71
2018-06-30,96.76,$7.94,12.19
2018-03-31,91.17,$7.38,12.35
2017-12-31,82.27,$5.94,13.85
2017-09-30,74.55,$7.03,10.6
2017-06-30,81.67,$7.47,10.93
2017-03-31,83.35,$7.37,11.31
2016-12-31,69.33,$7.32,9.47
2016-09-30,70.84,$6.33,11.19
2016-06-30,72.13,$5.79,12.46
2016-03-31,73.1,$5.32,13.74
2015-12-31,63.34,$4.99,12.69
2015-09-30,72.46,$4.78,15.16
2015-06-30,84.97,$4.89,17.38
2015-03-31,70.46,$4.78,14.74
2014-12-31,68.74,$4.18,16.44
2014-09-30,66.05,$3.91,16.89
2014-06-30,52.81,$3.54,14.92
2014-03-31,49.17,$3.38,14.55
2013-12-31,44.69,$3.36,13.3
2013-09-30,40.04,$3.12,12.83
2013-06-30,33.78,$3.11,10.86
2013-03-31,38.06,$3.05,12.48
2012-12-31,28.26,$3.49,8.1
2012-09-30,26.88,$7.06,3.81
2012-06-30,24.6,$6.39,3.85
2012-03-31,20.0,$5.97,3.35
2011-12-31,16.5,$5.31,3.11
