Sharplink Gaming PE Ratio Historical Data,Sharplink Gaming PE Ratio Historical Data,Sharplink Gaming PE Ratio Historical Data,Sharplink Gaming PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.31,,0.14
2024-06-30,0.6,$2.21,0.27
2024-03-31,1.46,$1.13,1.29
2023-12-31,1.5,$-3.23,0.0
2023-09-30,1.6,$-3.23,0.0
2023-06-30,2.98,$-2.24,0.0
2023-03-31,3.8,$-1.00,0.0
2022-12-31,3.14,0,0.0
2022-09-30,8.99,$-2.20,0.0
2022-06-30,8.95,$-2.40,0.0
2022-03-31,14.35,$-2.00,0.0
2020-06-30,25.4,$-2.00,0.0
2020-03-31,18.6,$0.20,92.99
2019-12-31,20.6,$0.40,51.5
2019-09-30,22.8,0,0.0
2019-06-30,19.9,$-5.40,0.0
2019-03-31,37.0,$-6.20,0.0
2018-09-30,35.2,$-5.60,0.0
2017-12-31,42.2,$-11.60,0.0
2017-09-30,45.0,$-37.40,0.0
2017-06-30,31.8,$-40.20,0.0
2017-03-31,37.75,$-40.80,0.0
2016-12-31,54.6,$-36.60,0.0
2016-09-30,76.8,$-34.20,0.0
2016-06-30,65.7,$-33.60,0.0
2016-03-31,60.6,$-35.40,0.0
2015-12-31,50.69,$-36.60,0.0
2015-09-30,74.99,$-14.40,0.0
2015-06-30,165.0,$-17.40,0.0
2015-03-31,94.8,$-19.20,0.0
2014-12-31,59.4,$-20.40,0.0
2014-09-30,92.4,$-7.80,0.0
2014-06-30,94.19,$1.80,52.32
2014-03-31,123.6,$9.60,12.87
2013-12-31,154.74,$18.00,8.6
2013-09-30,103.74,$16.80,6.17
2013-06-30,93.0,$16.20,5.74
2013-03-31,160.19,$18.00,8.9
2012-12-31,213.0,$18.00,11.83
2012-09-30,153.0,$10.20,15.0
2012-06-30,106.2,$10.20,10.41
2012-03-31,120.0,$7.20,16.67
2011-12-31,81.66,$4.80,17.01
2011-09-30,82.2,$9.60,8.56
2011-06-30,90.6,$6.60,13.73
2011-03-31,107.99,$4.20,25.71
2010-12-31,115.8,$2.40,48.24
2010-09-30,82.2,$-1.80,0.0
2010-06-30,81.0,$-1.80,0.0
2010-03-31,90.6,$-8.40,0.0
2009-12-31,84.0,$-12.00,0.0
