United Fire PE Ratio Historical Data,United Fire PE Ratio Historical Data,United Fire PE Ratio Historical Data,United Fire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.04,,12.2
2024-12-31,28.45,$2.38,11.95
2024-09-30,20.82,$1.94,10.73
2024-06-30,21.21,$1.43,14.83
2024-03-31,21.34,$-0.69,0.0
2023-12-31,19.58,$-1.18,0.0
2023-09-30,19.07,$-1.16,0.0
2023-06-30,21.71,$-2.32,0.0
2023-03-31,25.25,$-0.51,0.0
2022-12-31,25.86,$0.58,44.59
2022-09-30,27.01,$2.07,13.05
2022-06-30,32.01,$2.60,12.31
2022-03-31,28.91,$3.56,8.12
2021-12-31,21.46,$3.18,6.75
2021-09-30,21.24,$0.54,39.33
2021-06-30,25.35,$-0.57,0.0
2021-03-31,31.65,$-0.87,0.0
2020-12-31,22.72,$-4.51,0.0
2020-09-30,18.28,$-5.08,0.0
2020-06-30,24.58,$-3.68,0.0
2020-03-31,28.6,$-4.09,0.0
2019-12-31,38.03,$0.55,69.14
2019-09-30,40.55,$0.31,130.79
2019-06-30,41.52,$0.83,50.02
2019-03-31,37.19,$1.01,36.82
2018-12-31,46.88,$1.07,43.81
2018-09-30,42.92,$4.05,10.6
2018-06-30,43.54,$2.90,15.01
2018-03-31,38.01,$3.01,12.63
2017-12-31,35.98,$1.98,18.17
2017-09-30,35.96,$0.63,57.08
2017-06-30,34.35,$1.83,18.77
2017-03-31,33.12,$1.83,18.1
2016-12-31,37.86,$1.94,19.51
2016-09-30,32.41,$2.69,12.05
2016-06-30,32.3,$2.98,10.84
2016-03-31,33.16,$3.45,9.61
2015-12-31,28.84,$3.51,8.22
2015-09-30,26.24,$3.68,7.13
2015-06-30,24.36,$2.92,8.34
2015-03-31,23.46,$2.75,8.53
2014-12-31,21.8,$2.33,9.36
2014-09-30,20.22,$1.99,10.16
2014-06-30,21.21,$2.43,8.73
2014-03-31,21.79,$2.62,8.32
2013-12-31,20.45,$2.98,6.86
2013-09-30,21.61,$1.84,11.75
2013-06-30,17.5,$1.73,10.12
2013-03-31,17.84,$1.70,10.49
2012-12-31,15.2,$1.57,9.68
2012-09-30,17.39,$2.33,7.46
2012-06-30,14.65,$1.80,8.14
2012-03-31,12.2,$0.53,23.02
2011-12-31,13.66,$0.00,0.0
2011-09-30,11.88,$-0.31,0.0
2011-06-30,11.57,$0.02,578.56
2011-03-31,13.36,$1.29,10.35
2010-12-31,14.64,$1.80,8.14
2010-09-30,13.82,$1.52,9.09
2010-06-30,12.82,$1.00,12.82
2010-03-31,11.56,$0.22,52.54
2009-12-31,11.61,$-0.39,0.0
