Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.2,,14.96
2024-12-31,20.18,$1.15,17.55
2024-09-30,19.77,$1.28,15.45
2024-06-30,17.45,$1.17,14.92
2024-03-31,16.74,$1.12,14.95
2023-12-31,18.0,$1.05,17.14
2023-09-30,16.09,$0.86,18.71
2023-06-30,17.24,$0.91,18.95
2023-03-31,16.13,$0.89,18.13
2022-12-31,16.22,$0.84,19.31
2022-09-30,12.47,$0.82,15.21
2022-06-30,9.96,$0.06,165.96
2022-03-31,11.91,$0.07,170.19
2021-12-31,12.11,$-0.09,0.0
2021-09-30,9.58,$-0.22,0.0
2021-06-30,10.15,$0.37,27.43
2021-03-31,11.68,$-3.54,0.0
2020-12-31,12.43,$-3.03,0.0
2020-09-30,9.37,$-9.96,0.0
2020-06-30,8.85,$-13.06,0.0
2020-03-31,8.97,$-14.16,0.0
2019-12-31,10.85,$-14.48,0.0
2019-09-30,9.98,$-20.88,0.0
2019-06-30,22.87,$-16.73,0.0
2019-03-31,17.76,$-13.81,0.0
2018-12-31,23.7,$-13.20,0.0
2018-09-30,45.91,$0.26,176.57
2018-06-30,42.47,$0.24,176.94
2018-03-31,43.83,$2.94,14.91
2017-12-31,44.73,$3.21,13.93
2017-09-30,67.94,$4.35,15.62
2017-06-30,65.71,$4.05,16.22
2017-03-31,65.18,$3.67,17.76
2016-12-31,59.25,$2.76,21.47
2016-09-30,59.16,$1.67,35.42
2016-06-30,61.34,$1.53,40.09
2016-03-31,56.86,$1.95,29.16
2015-12-31,50.26,$1.79,28.08
2015-09-30,49.47,$1.79,27.64
2015-06-30,45.6,$2.87,15.89
2015-03-31,48.84,$2.61,18.71
2014-12-31,48.58,$3.04,15.98
2014-09-30,40.76,$2.96,13.77
2014-06-30,43.01,$1.61,26.72
2014-03-31,38.33,$1.78,21.53
2013-12-31,35.37,$1.84,19.22
2013-09-30,35.53,$1.62,21.93
2013-06-30,39.27,$2.10,18.7
2013-03-31,37.85,$1.91,19.82
2012-12-31,33.8,$1.92,17.6
2012-09-30,35.49,$2.15,16.51
2012-06-30,37.26,$1.81,20.58
2012-03-31,35.37,$2.17,16.3
2011-12-31,33.23,$2.11,15.75
2011-09-30,33.72,$2.54,13.28
2011-06-30,33.16,$2.70,12.28
2011-03-31,34.47,$2.65,13.01
2010-12-31,36.94,$2.82,13.1
2010-09-30,34.74,$2.90,11.98
2010-06-30,31.13,$3.07,10.14
2010-03-31,31.78,$3.23,9.84
2009-12-31,33.1,$3.21,10.31
