NeueHealth PE Ratio Historical Data,NeueHealth PE Ratio Historical Data,NeueHealth PE Ratio Historical Data,NeueHealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.27,,0.0
2024-09-30,5.22,$-51.16,0.0
2024-06-30,5.44,$-123.68,0.0
2024-03-31,6.5,$-130.73,0.0
2023-12-31,7.63,$-151.20,0.0
2023-09-30,5.97,$-208.73,0.0
2023-06-30,12.22,$-167.70,0.0
2023-03-31,0.22,$-188.00,0.0
2022-12-31,0.65,$-189.60,0.0
2022-09-30,1.05,$-204.80,0.0
2022-06-30,1.82,$-203.20,0.0
2022-03-31,1.93,$-189.60,0.0
