Tenable Holdings PE Ratio Historical Data,Tenable Holdings PE Ratio Historical Data,Tenable Holdings PE Ratio Historical Data,Tenable Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.13,,0.0
2024-12-31,39.38,$-0.30,0.0
2024-09-30,40.52,$-0.51,0.0
2024-06-30,43.58,$-0.56,0.0
2024-03-31,49.43,$-0.58,0.0
2023-12-31,46.06,$-0.68,0.0
2023-09-30,44.8,$-0.68,0.0
2023-06-30,43.55,$-0.72,0.0
2023-03-31,47.51,$-0.83,0.0
2022-12-31,38.15,$-0.83,0.0
2022-09-30,34.8,$-0.74,0.0
2022-06-30,45.41,$-0.72,0.0
2022-03-31,57.79,$-0.58,0.0
2021-12-31,55.07,$-0.43,0.0
2021-09-30,46.14,$-0.35,0.0
2021-06-30,41.35,$-0.26,0.0
2021-03-31,36.19,$-0.27,0.0
2020-12-31,52.26,$-0.43,0.0
2020-09-30,37.75,$-0.80,0.0
2020-06-30,29.81,$-0.92,0.0
2020-03-31,21.86,$-1.03,0.0
2019-12-31,23.96,$-1.03,0.0
2019-09-30,22.38,$-0.85,0.0
2019-06-30,28.54,$-0.95,0.0
