Pacira BioSciences PE Ratio Historical Data,Pacira BioSciences PE Ratio Historical Data,Pacira BioSciences PE Ratio Historical Data,Pacira BioSciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.82,,0.0
2024-12-31,18.84,$-2.19,0.0
2024-09-30,15.05,$-2.03,0.0
2024-06-30,28.61,$1.31,21.84
2024-03-31,29.22,$1.43,20.43
2023-12-31,33.74,$0.81,41.65
2023-09-30,30.68,$0.09,340.89
2023-06-30,40.07,$-0.16,0.0
2023-03-31,40.81,$-0.27,0.0
2022-12-31,38.61,$0.31,124.55
2022-09-30,53.19,$0.41,129.73
2022-06-30,58.3,$0.82,71.1
2022-03-31,76.32,$0.84,90.86
2021-12-31,60.17,$0.92,65.4
2021-09-30,56.0,$1.36,41.18
2021-06-30,60.68,$3.91,15.52
2021-03-31,70.09,$3.32,21.11
2020-12-31,59.84,$3.28,18.24
2020-09-30,60.12,$2.84,21.17
2020-06-30,52.47,$-0.25,0.0
2020-03-31,33.53,$-0.02,0.0
2019-12-31,45.3,$-0.28,0.0
2019-09-30,38.07,$0.04,951.75
2019-06-30,43.49,$0.17,255.82
2019-03-31,38.06,$0.17,223.88
2018-12-31,43.02,$-0.02,0.0
2018-09-30,49.15,$-0.11,0.0
2018-06-30,32.05,$-0.28,0.0
2018-03-31,31.15,$-0.83,0.0
2017-12-31,45.65,$-1.09,0.0
2017-09-30,37.55,$-1.31,0.0
2017-06-30,47.7,$-1.71,0.0
2017-03-31,45.6,$-1.43,0.0
2016-12-31,32.3,$-1.01,0.0
2016-09-30,34.22,$-0.97,0.0
2016-06-30,33.73,$-0.30,0.0
2016-03-31,52.98,$-0.09,0.0
2015-12-31,76.79,$0.04,1919.75
2015-09-30,41.1,$0.25,164.4
2015-06-30,70.72,$0.09,785.78
2015-03-31,88.85,$-0.05,0.0
2014-12-31,88.66,$-0.42,0.0
2014-09-30,96.92,$-0.92,0.0
2014-06-30,91.86,$-1.28,0.0
2014-03-31,69.99,$-1.56,0.0
2013-12-31,57.49,$-1.93,0.0
2013-09-30,48.08,$-2.07,0.0
2013-06-30,29.0,$-2.12,0.0
2013-03-31,28.86,$-1.97,0.0
2012-12-31,17.47,$-1.73,0.0
2012-09-30,17.4,$-1.95,0.0
2012-06-30,16.04,$-2.01,0.0
2012-03-31,11.54,$-2.25,0.0
2011-12-31,8.65,$-2.76,0.0
