TORM PE Ratio Historical Data,TORM PE Ratio Historical Data,TORM PE Ratio Historical Data,TORM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.21,,3.01
2024-12-31,19.45,$6.38,3.05
2024-09-30,32.4,$7.73,4.19
2024-06-30,34.99,$7.80,4.49
2024-03-31,29.12,$7.92,3.68
2023-12-31,25.34,$7.46,3.4
2023-09-30,21.93,$8.09,2.71
2023-06-30,18.15,$9.30,1.95
2023-03-31,22.17,$8.47,2.62
2022-12-31,19.26,$6.79,2.84
2022-09-30,12.75,$3.96,3.22
2022-06-30,8.27,$1.14,7.25
2022-03-31,5.41,$-0.14,0.0
2021-12-31,4.86,$-0.54,0.0
2021-09-30,4.72,$-0.97,0.0
2021-06-30,5.38,$-0.77,0.0
2021-03-31,5.56,$0.16,34.78
2020-12-31,4.3,$1.19,3.61
2020-09-30,4.16,$2.08,2.0
2020-06-30,3.67,$1.95,1.88
2020-03-31,4.05,$1.06,3.82
2019-12-31,5.8,$0.62,9.36
2019-09-30,4.55,$0.24,18.96
2019-06-30,4.82,$0.02,240.86
2019-03-31,4.01,$-0.17,0.0
2018-12-31,3.15,$-0.48,0.0
