Digital Turbine PE Ratio Historical Data,Digital Turbine PE Ratio Historical Data,Digital Turbine PE Ratio Historical Data,Digital Turbine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.45,,0.0
2024-12-31,1.69,$-3.03,0.0
2024-09-30,3.07,$-2.95,0.0
2024-06-30,1.66,$-4.32,0.0
2024-03-31,2.62,$-4.15,0.0
2023-12-31,6.86,$-1.97,0.0
2023-09-30,6.05,$-1.79,0.0
2023-06-30,9.28,$-0.07,0.0
2023-03-31,12.36,$0.16,77.25
2022-12-31,15.24,$0.49,31.1
2022-09-30,14.41,$0.52,27.71
2022-06-30,17.47,$0.35,49.91
2022-03-31,43.81,$0.34,128.85
2021-12-31,60.99,$0.46,132.59
2021-09-30,68.75,$0.54,127.31
2021-06-30,76.03,$0.60,126.72
2021-03-31,80.36,$0.57,140.98
2020-12-31,56.56,$0.41,137.95
2020-09-30,32.74,$0.30,109.13
2020-06-30,12.57,$0.28,44.89
2020-03-31,4.31,$0.15,28.73
2019-12-31,7.13,$-0.09,0.0
2019-09-30,6.45,$-0.14,0.0
2019-06-30,5.0,$-0.10,0.0
2019-03-31,3.5,$-0.07,0.0
2018-12-31,1.83,$-0.49,0.0
2018-09-30,1.24,$-0.53,0.0
2018-06-30,1.51,$-0.65,0.0
2018-03-31,2.01,$-0.72,0.0
2017-12-31,1.79,$-0.31,0.0
2017-09-30,1.51,$-0.30,0.0
2017-06-30,1.03,$-0.31,0.0
2017-03-31,0.94,$-0.36,0.0
2016-12-31,0.68,$-0.35,0.0
2016-09-30,1.05,$-0.40,0.0
2016-06-30,1.07,$-0.43,0.0
2016-03-31,1.19,$-0.46,0.0
2015-12-31,1.33,$-0.59,0.0
2015-09-30,1.81,$-0.65,0.0
2015-06-30,3.02,$-0.65,0.0
2015-03-31,3.26,$-0.63,0.0
2014-12-31,3.33,$-0.49,0.0
2014-09-30,4.58,$-0.47,0.0
2014-06-30,3.95,$-0.58,0.0
2014-03-31,3.95,$-0.76,0.0
2013-12-31,2.62,$-0.87,0.0
2013-09-30,2.67,$-0.79,0.0
2013-06-30,4.45,$-0.58,0.0
2013-03-31,4.65,$-0.43,0.0
2012-12-31,3.75,$-2.29,0.0
2012-09-30,4.1,$-3.04,0.0
2012-06-30,3.75,$-3.10,0.0
2012-03-31,4.68,$-3.05,0.0
2011-12-31,3.25,$-1.00,0.0
2011-09-30,3.25,$-1.35,0.0
2011-06-30,2.3,$-1.55,0.0
2011-03-31,2.9,$-1.15,0.0
2010-12-31,1.45,$-1.15,0.0
2010-09-30,1.95,$0.05,39.0
2010-06-30,1.75,$0.20,8.75
2010-03-31,2.0,$-0.20,0.0
2009-12-31,2.5,$-0.20,0.0
