Velocity Financial PE Ratio Historical Data,Velocity Financial PE Ratio Historical Data,Velocity Financial PE Ratio Historical Data,Velocity Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.99,,14.07
2024-12-31,19.56,$1.35,14.49
2024-09-30,19.61,$1.85,10.6
2024-06-30,17.93,$1.76,10.19
2024-03-31,18.0,$1.70,10.59
2023-12-31,17.22,$1.52,11.33
2023-09-30,11.3,$1.27,8.9
2023-06-30,11.53,$1.21,9.53
2023-03-31,9.03,$1.16,7.78
2022-12-31,9.65,$0.94,10.27
2022-09-30,10.84,$0.93,11.66
2022-06-30,10.99,$0.87,12.63
2022-03-31,10.94,$0.84,13.02
2021-12-31,13.7,$0.85,16.12
2021-09-30,13.16,$0.90,14.62
2021-06-30,12.49,$0.78,16.01
2021-03-31,8.87,$-1.83,0.0
2020-12-31,6.23,$-1.80,0.0
