Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data,Tyson Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.42,,20.41
2024-12-31,57.44,$2.96,19.41
2024-09-30,59.1,$2.25,26.27
2024-06-30,56.27,$-0.06,0.0
2024-03-31,57.84,$-1.78,0.0
2023-12-31,52.46,$-2.47,0.0
2023-09-30,48.77,$-1.89,0.0
2023-06-30,48.86,$0.92,53.11
2023-03-31,56.25,$4.17,13.49
2022-12-31,58.56,$6.73,8.7
2022-09-30,61.57,$8.92,6.9
2022-06-30,79.88,$11.13,7.18
2022-03-31,82.77,$11.11,7.45
2021-12-31,80.09,$10.13,7.91
2021-09-30,72.12,$8.34,8.65
2021-06-30,67.01,$6.53,10.26
2021-03-31,67.12,$5.92,11.34
2020-12-31,57.83,$5.62,10.29
2020-09-30,53.02,$5.86,9.05
2020-06-30,52.87,$4.97,10.64
2020-03-31,50.89,$5.37,9.48
2019-12-31,79.58,$5.54,14.37
2019-09-30,74.95,$5.52,13.58
2019-06-30,69.97,$5.98,11.7
2019-03-31,59.87,$5.61,10.67
2018-12-31,45.77,$5.29,8.65
2018-09-30,51.03,$8.19,6.23
2018-06-30,58.73,$7.79,7.54
2018-03-31,62.16,$7.53,8.25
2017-12-31,68.57,$7.60,9.02
2017-09-30,59.43,$4.79,12.41
2017-06-30,52.64,$4.75,11.08
2017-03-31,51.67,$4.79,10.79
2016-12-31,51.46,$4.97,10.35
2016-09-30,62.06,$4.53,13.7
2016-06-30,55.4,$4.13,13.41
2016-03-31,55.16,$3.71,14.87
2015-12-31,44.03,$3.36,13.1
2015-09-30,35.48,$2.95,12.03
2015-06-30,35.01,$2.67,13.11
2015-03-31,31.38,$2.57,12.21
2014-12-31,32.77,$2.42,13.54
2014-09-30,32.1,$2.40,13.38
2014-06-30,30.55,$2.75,11.11
2014-03-31,35.75,$2.70,13.24
2013-12-31,27.13,$2.36,11.49
2013-09-30,22.87,$2.12,10.79
2013-06-30,20.73,$1.93,10.74
2013-03-31,20.0,$1.46,13.7
2012-12-31,15.6,$1.64,9.51
2012-09-30,12.78,$1.58,8.09
2012-06-30,14.98,$1.33,11.27
2012-03-31,15.21,$1.63,9.33
2011-12-31,16.36,$1.61,10.16
2011-09-30,13.73,$1.97,6.97
2011-06-30,15.32,$2.28,6.72
2011-03-31,15.11,$2.42,6.24
2010-12-31,13.53,$2.42,5.59
2010-09-30,12.55,$2.06,6.09
2010-06-30,12.81,$0.27,47.46
2010-03-31,14.94,$-0.03,0.0
2009-12-31,9.55,$-0.73,0.0
