Perma-Fix Environmental Services PE Ratio Historical Data,Perma-Fix Environmental Services PE Ratio Historical Data,Perma-Fix Environmental Services PE Ratio Historical Data,Perma-Fix Environmental Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.54,,0.0
2024-12-31,11.07,$-1.10,0.0
2024-09-30,12.27,$-1.09,0.0
2024-06-30,10.13,$-0.50,0.0
2024-03-31,11.89,$-0.20,0.0
2023-12-31,7.86,$0.03,262.0
2023-09-30,10.45,$-0.11,0.0
2023-06-30,10.98,$-0.08,0.0
2023-03-31,11.78,$-0.22,0.0
2022-12-31,3.53,$-0.29,0.0
2022-09-30,4.48,$-0.35,0.0
2022-06-30,5.19,$-0.29,0.0
2022-03-31,5.53,$0.06,92.17
2021-12-31,6.33,$0.07,90.43
2021-09-30,6.65,$0.26,25.58
2021-06-30,7.15,$0.27,26.48
2021-03-31,7.33,$0.05,146.6
2020-12-31,5.97,$0.24,24.88
2020-09-30,7.05,$0.32,22.03
2020-06-30,6.39,$0.35,18.26
2020-03-31,5.21,$0.35,14.89
2019-12-31,9.1,$0.19,47.89
2019-09-30,4.54,$0.11,41.27
2019-06-30,3.91,$-0.02,0.0
2019-03-31,3.51,$0.01,351.0
2018-12-31,2.35,$0.08,29.38
2018-09-30,4.2,$0.10,42.0
2018-06-30,4.5,$-0.09,0.0
2018-03-31,4.15,$-0.24,0.0
2017-12-31,3.65,$-0.31,0.0
2017-09-30,3.8,$-0.31,0.0
2017-06-30,3.65,$-0.27,0.0
2017-03-31,3.15,$-0.88,0.0
2016-12-31,3.9,$-1.15,0.0
2016-09-30,5.01,$-1.16,0.0
2016-06-30,5.09,$-0.94,0.0
2016-03-31,3.7,$-0.24,0.0
2015-12-31,3.72,$-0.09,0.0
2015-09-30,4.03,$-0.02,0.0
2015-06-30,3.81,$0.05,76.2
2015-03-31,3.88,$0.06,64.67
2014-12-31,4.35,$-0.11,0.0
2014-09-30,3.82,$-2.94,0.0
2014-06-30,4.6,$-3.17,0.0
2014-03-31,4.88,$-3.27,0.0
2013-12-31,3.11,$-3.17,0.0
2013-09-30,3.67,$-0.72,0.0
2013-06-30,1.8,$-0.70,0.0
2013-03-31,4.1,$-0.70,0.0
2012-12-31,3.41,$-0.55,0.0
2012-09-30,5.2,$0.25,20.8
2012-06-30,5.85,$0.85,6.88
2012-03-31,7.95,$1.20,6.63
2011-12-31,7.75,$1.25,6.2
2011-09-30,6.0,$0.90,6.67
2011-06-30,6.95,$0.25,27.8
2011-03-31,7.55,$0.15,50.33
2010-12-31,8.15,$0.25,32.6
2010-09-30,8.35,$0.60,13.92
2010-06-30,8.05,$0.95,8.47
2010-03-31,11.2,$0.85,13.18
2009-12-31,11.35,$0.85,13.35
