MIND Technology PE Ratio Historical Data,MIND Technology PE Ratio Historical Data,MIND Technology PE Ratio Historical Data,MIND Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.13,,2.29
2024-10-31,3.58,$3.11,1.15
2024-07-31,4.5,$-0.03,0.0
2024-04-30,6.1,$-1.72,0.0
2024-01-31,6.0,$-2.62,0.0
2023-10-31,4.67,$-3.17,0.0
2023-07-31,70.0,$-7.30,0.0
2023-04-30,49.01,$-7.60,0.0
2023-01-31,65.5,$-9.10,0.0
2022-10-31,60.0,$-13.80,0.0
2022-07-31,80.0,$-11.80,0.0
2022-04-30,102.0,$-12.10,0.0
2022-01-31,138.0,$-13.00,0.0
2021-10-31,170.0,$-11.10,0.0
2021-07-31,198.0,$-12.10,0.0
2021-04-30,232.0,$-15.60,0.0
2021-01-31,214.0,$-18.20,0.0
2020-10-31,205.0,$-18.70,0.0
2020-07-31,228.0,$-17.40,0.0
2020-04-30,96.5,$-14.50,0.0
2020-01-31,284.0,$-11.00,0.0
2019-10-31,230.0,$-11.30,0.0
2019-07-31,416.0,$-13.90,0.0
2019-04-30,373.0,$-15.00,0.0
2019-01-31,398.0,$-17.80,0.0
2018-10-31,400.0,$-20.60,0.0
2018-07-31,386.0,$-20.50,0.0
