Taylor Devices PE Ratio Historical Data,Taylor Devices PE Ratio Historical Data,Taylor Devices PE Ratio Historical Data,Taylor Devices PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.27,,12.04
2024-11-30,48.08,$2.68,17.94
2024-08-31,57.22,$2.90,19.73
2024-05-31,50.92,$2.57,19.81
2024-02-29,35.98,$2.49,14.45
2023-11-30,23.22,$2.14,10.85
2023-08-31,22.48,$1.58,14.23
2023-05-31,18.55,$1.35,13.74
2023-02-28,16.8,$1.19,14.12
2022-11-30,13.4,$0.69,19.42
2022-08-31,10.19,$0.88,11.58
2022-05-31,9.3,$0.64,14.53
2022-02-28,10.0,$0.23,43.48
2021-11-30,10.95,$0.31,35.32
2021-08-31,12.08,$0.31,38.97
2021-05-31,11.85,$0.31,38.23
2021-02-28,11.07,$0.57,19.42
2020-11-30,10.54,$0.74,14.24
2020-08-31,9.35,$0.81,11.54
2020-05-31,10.99,$0.86,12.78
2020-02-29,11.23,$0.86,13.06
2019-11-30,10.68,$0.77,13.87
2019-08-31,10.82,$0.62,17.45
2019-05-31,11.08,$0.73,15.18
2019-02-28,12.76,$0.49,26.05
2018-11-30,12.25,$0.35,35.0
2018-08-31,11.73,$0.26,45.13
2018-05-31,10.26,$0.14,73.29
2018-02-28,11.02,$0.34,32.41
2017-11-30,12.55,$0.45,27.89
2017-08-31,11.75,$0.70,16.79
2017-05-31,13.26,$0.67,19.79
2017-02-28,14.48,$0.74,19.57
2016-11-30,14.8,$0.99,14.95
2016-08-31,18.74,$0.99,18.93
2016-05-31,16.7,$1.23,13.58
2016-02-29,13.5,$1.18,11.44
2015-11-30,15.75,$0.95,16.58
2015-08-31,13.33,$0.83,16.06
2015-05-31,12.87,$0.65,19.8
2015-02-28,11.73,$0.51,23.01
2014-11-30,9.73,$0.46,21.15
2014-08-31,8.56,$0.40,21.4
2014-05-31,8.83,$0.34,25.97
2014-02-28,8.69,$0.38,22.87
2013-11-30,8.19,$0.50,16.38
2013-08-31,8.76,$0.64,13.69
2013-05-31,8.07,$0.76,10.62
2013-02-28,8.82,$0.86,10.26
2012-11-30,8.15,$0.83,9.82
2012-08-31,8.72,$0.73,11.95
2012-05-31,9.55,$0.68,14.04
2012-02-29,10.66,$0.65,16.4
2011-11-30,6.99,$0.61,11.46
2011-08-31,6.6,$0.52,12.69
2011-05-31,5.87,$0.45,13.04
2011-02-28,4.9,$0.35,14.0
2010-11-30,4.6,$0.33,13.94
2010-08-31,4.88,$0.45,10.84
2010-05-31,6.03,$0.49,12.31
2010-02-28,5.43,$0.46,11.8
2009-11-30,4.49,$0.37,12.12
