Honda PE Ratio Historical Data,Honda PE Ratio Historical Data,Honda PE Ratio Historical Data,Honda PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.15,,8.33
2024-12-31,28.55,$3.62,7.89
2024-06-30,31.59,$4.69,6.74
2024-03-31,36.48,$4.72,7.73
2023-12-31,30.09,$4.24,7.1
2023-09-30,32.74,$4.20,7.8
2023-06-30,29.01,$3.93,7.38
2023-03-31,25.35,$3.00,8.45
2022-12-31,21.53,$3.12,6.9
2022-09-30,20.33,$3.09,6.58
2022-06-30,22.31,$3.17,7.04
2022-03-31,26.11,$3.68,7.09
2021-12-31,25.84,$4.22,6.12
2021-09-30,27.86,$4.81,5.79
2021-06-30,28.78,$5.24,5.49
2021-03-31,27.01,$3.62,7.46
2020-12-31,24.86,$2.29,10.86
2020-09-30,20.68,$1.32,15.67
2020-06-30,22.14,$1.05,21.08
2020-03-31,19.37,$2.38,8.14
2019-12-31,24.15,$2.47,9.78
2019-09-30,22.05,$2.71,8.14
2019-06-30,21.64,$2.74,7.9
2019-03-31,22.56,$3.11,7.26
2018-12-31,21.76,$3.74,5.82
2018-09-30,24.51,$5.71,4.29
2018-06-30,23.66,$5.50,4.3
2018-03-31,27.84,$5.28,5.27
2017-12-31,27.12,$5.19,5.23
2017-09-30,23.37,$3.17,7.37
2017-06-30,21.5,$3.28,6.55
2017-03-31,23.56,$3.18,7.41
2016-12-31,22.57,$2.25,10.03
2016-09-30,22.2,$2.02,10.99
2016-06-30,19.32,$1.64,11.78
2016-03-31,20.67,$1.54,13.42
2015-12-31,23.95,$2.46,9.74
2015-09-30,22.29,$2.52,8.85
2015-06-30,23.88,$2.65,9.01
2015-03-31,24.15,$2.61,9.25
2014-12-31,21.76,$3.08,7.06
2014-09-30,25.27,$3.32,7.61
2014-06-30,25.79,$3.28,7.86
2014-03-31,26.05,$3.17,8.22
2013-12-31,30.48,$2.69,11.33
2013-09-30,27.98,$2.32,12.06
2013-06-30,27.2,$2.23,12.2
2013-03-31,27.79,$2.46,11.3
2012-12-31,26.71,$2.49,10.73
2012-09-30,22.23,$2.33,9.54
2012-06-30,24.77,$2.18,11.36
2012-03-31,27.28,$1.48,18.43
2011-12-31,21.59,$1.30,16.61
2011-09-30,20.49,$1.51,13.57
2011-06-30,26.98,$1.97,13.69
2011-03-31,26.09,$3.45,7.56
2010-12-31,27.34,$2.09,13.08
2010-09-30,24.53,$2.36,10.4
2010-06-30,19.75,$1.79,11.03
2010-03-31,24.13,$0.13,185.64
2009-12-31,23.1,$0.15,154.02
