China Natural Resources PE Ratio Historical Data,China Natural Resources PE Ratio Historical Data,China Natural Resources PE Ratio Historical Data,China Natural Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.58,,0.0
2024-06-30,0.78,$-0.20,0.0
2019-06-30,8.25,$-0.20,0.0
2018-06-30,11.25,$-0.15,0.0
2017-06-30,10.5,$-0.40,0.0
2016-06-30,6.4,$-0.30,0.0
2015-12-31,6.85,$-0.60,0.0
2015-06-30,10.78,$-0.60,0.0
2014-12-31,11.8,$-2.15,0.0
2014-06-30,16.4,$-2.15,0.0
2013-12-31,16.5,$-2.75,0.0
2013-06-30,18.25,$-2.75,0.0
2012-12-31,21.5,$-1.15,0.0
2012-06-30,22.25,$-1.15,0.0
2011-12-31,34.0,$-0.95,0.0
2011-06-30,48.25,$-1.65,0.0
2010-12-31,87.05,$-1.40,0.0
2010-09-30,54.5,$-1.90,0.0
