AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.68,,56.54
2024-11-30,93.14,$1.48,62.93
2024-08-31,82.99,$1.28,64.84
2024-05-31,83.51,$1.07,78.05
2024-02-29,72.32,$3.43,21.08
2023-11-30,48.71,$2.77,17.59
2023-08-31,48.47,$0.88,55.08
2023-05-31,34.33,$-2.00,0.0
2023-02-28,39.79,$-2.02,0.0
2022-11-30,40.59,$-1.05,0.0
2022-08-31,41.34,$0.77,53.69
2022-05-31,43.24,$3.44,12.57
2022-02-28,47.39,$3.36,14.1
2021-11-30,49.78,$3.12,15.95
2021-08-31,51.2,$3.03,16.9
2021-05-31,50.98,$2.20,23.17
2021-02-28,48.53,$1.53,31.72
2020-11-30,42.21,$0.49,86.14
2020-08-31,32.72,$0.57,57.4
2020-05-31,29.67,$1.23,24.12
2020-02-29,34.36,$1.83,18.78
2019-11-30,35.32,$2.58,13.69
2019-08-31,38.12,$2.33,16.36
2019-05-31,38.72,$2.17,17.84
2019-02-28,42.2,$1.96,21.53
2018-11-30,43.6,$2.52,17.3
2018-08-31,48.91,$1.92,25.47
2018-05-31,39.23,$1.81,21.68
2018-02-28,36.92,$1.72,21.46
2017-11-30,43.29,$1.26,34.36
2017-08-31,43.86,$1.97,22.26
2017-05-31,48.49,$2.03,23.89
2017-02-28,52.28,$2.33,22.44
2016-11-30,57.86,$2.51,23.05
2016-08-31,58.86,$2.72,21.64
2016-05-31,52.17,$3.01,17.33
2016-02-29,44.52,$2.97,14.99
2015-11-30,52.33,$2.98,17.56
2015-08-31,44.35,$2.84,15.62
2015-05-31,41.88,$2.70,15.51
2015-02-28,39.56,$2.51,15.76
2014-11-30,38.87,$2.28,17.05
2014-08-31,40.08,$2.23,17.97
2014-05-31,38.39,$2.34,16.4
2014-02-28,38.14,$2.33,16.37
2013-11-30,41.88,$2.45,17.09
2013-08-31,32.05,$2.33,13.76
2013-05-31,35.28,$2.31,15.27
2013-02-28,37.85,$2.37,15.97
2012-11-30,32.2,$2.31,13.94
2012-08-31,26.73,$2.11,12.7
2012-05-31,22.48,$1.87,12.05
2012-02-29,20.93,$1.61,13.0
2011-11-30,17.57,$1.52,11.6
2011-08-31,19.53,$1.51,12.97
2011-05-31,18.11,$1.51,12.0
2011-02-28,17.41,$1.39,12.53
2010-11-30,15.12,$1.35,11.24
2010-08-31,16.09,$1.31,12.29
2010-05-31,14.78,$1.37,10.79
2010-02-28,12.5,$1.52,8.25
2009-11-30,13.36,$1.60,8.35
