Citizens Community Bancorp PE Ratio Historical Data,Citizens Community Bancorp PE Ratio Historical Data,Citizens Community Bancorp PE Ratio Historical Data,Citizens Community Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.77,,11.11
2024-12-31,16.29,$1.33,12.25
2024-09-30,14.17,$1.41,10.05
2024-06-30,11.57,$1.33,8.7
2024-03-31,12.15,$1.29,9.42
2023-12-31,11.4,$1.25,9.12
2023-09-30,9.34,$1.35,6.92
2023-06-30,8.61,$1.49,5.78
2023-03-31,10.32,$1.59,6.49
2022-12-31,11.44,$1.69,6.77
2022-09-30,11.57,$1.82,6.36
2022-06-30,13.15,$1.91,6.89
2022-03-31,14.37,$1.94,7.41
2021-12-31,12.89,$1.99,6.48
2021-09-30,12.87,$1.73,7.44
2021-06-30,12.81,$1.57,8.16
2021-03-31,11.62,$1.41,8.24
2020-12-31,9.99,$1.14,8.76
2020-09-30,6.32,$1.10,5.74
2020-06-30,6.29,$0.90,6.99
2020-03-31,5.92,$0.99,5.98
2019-12-31,11.01,$0.85,12.96
2019-09-30,9.98,$0.69,14.46
2019-06-30,9.77,$0.68,14.37
2019-03-31,10.75,$0.39,27.57
2018-12-31,9.66,$0.53,18.23
2018-09-30,12.41,$0.64,19.39
2018-06-30,12.54,$0.54,23.23
2018-03-31,12.42,$0.66,18.82
2017-12-31,11.8,$0.60,19.66
2017-09-30,12.19,$0.55,22.16
2017-06-30,12.21,$0.55,22.21
2017-03-31,12.1,$0.53,22.83
2016-12-31,10.73,$0.49,21.89
2016-09-30,9.65,$0.47,20.53
2016-06-30,8.94,$0.47,19.02
2016-03-31,7.72,$0.41,18.84
2015-12-31,8.06,$0.39,20.66
2015-09-30,7.53,$0.37,20.35
2015-06-30,7.8,$0.37,21.08
2015-03-31,7.75,$0.36,21.53
2014-12-31,7.72,$0.31,24.9
2014-09-30,7.47,$0.23,32.48
2014-06-30,7.17,$0.23,31.19
2014-03-31,6.75,$0.15,45.02
2013-12-31,6.22,$0.15,41.5
2013-09-30,6.09,$0.14,43.5
2013-06-30,5.88,$0.14,42.0
2013-03-31,5.76,$0.18,32.01
2012-12-31,5.03,$0.13,38.66
2012-09-30,4.94,0,0.0
2012-06-30,4.73,$0.04,118.31
2012-03-31,5.08,$-0.03,0.0
2011-12-31,4.3,$-0.04,0.0
2011-09-30,4.19,$0.04,104.7
2011-06-30,4.61,0,0.0
2011-03-31,4.18,$0.03,139.32
2010-12-31,3.31,$0.01,0.0
2010-09-30,3.71,$0.01,0.0
2010-06-30,3.18,$0.11,28.93
2010-03-31,3.32,$0.08,41.46
2009-12-31,2.85,$0.10,28.48
