Plumas Bancorp PE Ratio Historical Data,Plumas Bancorp PE Ratio Historical Data,Plumas Bancorp PE Ratio Historical Data,Plumas Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.4,,12.69
2024-12-31,47.26,$3.50,13.5
2024-09-30,40.51,$4.77,8.49
2024-06-30,35.51,$4.80,7.4
2024-03-31,36.03,$4.78,7.54
2023-12-31,40.19,$5.01,8.02
2023-09-30,32.94,$5.06,6.51
2023-06-30,34.2,$4.95,6.91
2023-03-31,32.43,$4.79,6.77
2022-12-31,35.06,$4.48,7.83
2022-09-30,26.72,$4.09,6.53
2022-06-30,26.74,$3.98,6.72
2022-03-31,35.53,$3.87,9.18
2021-12-31,31.37,$3.75,8.37
2021-09-30,29.21,$3.64,8.03
2021-06-30,29.5,$3.23,9.13
2021-03-31,26.8,$2.99,8.96
2020-12-31,21.41,$2.77,7.73
2020-09-30,17.82,$2.69,6.63
2020-06-30,19.92,$2.75,7.24
2020-03-31,16.55,$2.87,5.77
2019-12-31,23.6,$2.97,7.94
2019-09-30,17.87,$2.91,6.14
2019-06-30,21.51,$2.85,7.55
2019-03-31,20.0,$2.78,7.19
2018-12-31,19.93,$2.68,7.44
2018-09-30,21.65,$2.22,9.75
2018-06-30,24.57,$1.98,12.41
2018-03-31,21.56,$1.81,11.91
2017-12-31,20.09,$1.58,12.71
2017-09-30,17.98,$1.77,10.16
2017-06-30,18.32,$1.69,10.84
2017-03-31,15.54,$1.56,9.96
2016-12-31,16.22,$1.47,11.04
2016-09-30,8.67,$1.39,6.24
2016-06-30,7.63,$1.32,5.78
2016-03-31,7.46,$1.23,6.07
2015-12-31,7.35,$1.16,6.34
2015-09-30,7.53,$1.10,6.85
2015-06-30,7.89,$1.05,7.52
2015-03-31,8.0,$1.01,7.92
2014-12-31,6.76,$0.96,7.05
2014-09-30,6.54,$0.88,7.43
2014-06-30,5.76,$0.81,7.11
2014-03-31,5.27,$0.85,6.2
2013-12-31,5.27,$0.75,7.02
2013-09-30,5.25,$0.64,8.21
2013-06-30,5.25,$0.52,10.1
2013-03-31,4.44,$0.35,12.68
2012-12-31,2.76,$0.27,10.23
2012-09-30,3.0,$0.21,14.28
2012-06-30,2.64,$0.17,15.55
2012-03-31,2.84,$0.06,47.29
2011-12-31,2.02,$0.06,33.6
2011-09-30,2.05,$0.02,102.49
2011-06-30,2.05,$-0.01,0.0
2011-03-31,1.82,$0.08,22.76
2010-12-31,1.98,$0.06,33.03
2010-09-30,2.59,$-0.69,0.0
2010-06-30,2.3,$-0.97,0.0
2010-03-31,2.32,$-1.76,0.0
2009-12-31,2.54,$-2.04,0.0
