Ginkgo Bioworks Holdings PE Ratio Historical Data,Ginkgo Bioworks Holdings PE Ratio Historical Data,Ginkgo Bioworks Holdings PE Ratio Historical Data,Ginkgo Bioworks Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.17,,0.0
2024-12-31,9.82,$-10.68,0.0
2024-09-30,8.15,$-13.08,0.0
2024-06-30,0.33,$-18.40,0.0
2024-03-31,1.16,$-17.60,0.0
2023-12-31,1.69,$-18.80,0.0
2023-09-30,1.81,$-18.40,0.0
2023-06-30,1.86,$-28.40,0.0
2023-03-31,1.33,$-41.20,0.0
2022-12-31,1.69,$-51.60,0.0
2022-09-30,3.12,$-91.60,0.0
2022-06-30,2.38,$-78.40,0.0
2022-03-31,4.03,$-62.00,0.0
