TherapeuticsMD PE Ratio Historical Data,TherapeuticsMD PE Ratio Historical Data,TherapeuticsMD PE Ratio Historical Data,TherapeuticsMD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.84,,0.0
2024-09-30,1.66,$-0.20,0.0
2024-06-30,1.61,$-0.47,0.0
2024-03-31,2.29,$-0.62,0.0
2023-12-31,2.25,$-0.93,0.0
2023-09-30,3.02,$-0.93,0.0
2023-06-30,4.12,$-3.74,0.0
2023-03-31,3.75,$8.89,0.42
2022-12-31,5.59,$3.57,1.57
2022-09-30,6.64,$-1.43,0.0
2022-06-30,9.95,$-3.80,0.0
2022-03-31,19.0,$-21.69,0.0
2021-12-31,17.78,$-21.50,0.0
2021-09-30,37.07,$-24.00,0.0
2021-06-30,59.5,$-24.50,0.0
2021-03-31,67.0,$-28.50,0.0
2020-12-31,60.5,$-33.50,0.0
2020-09-30,79.0,$-35.50,0.0
2020-06-30,62.5,$-36.00,0.0
2020-03-31,53.0,$-38.00,0.0
2019-12-31,121.0,$-35.50,0.0
2019-09-30,181.5,$-34.50,0.0
2019-06-30,130.0,$-36.00,0.0
2019-03-31,243.5,$-32.00,0.0
2018-12-31,190.5,$-29.50,0.0
2018-09-30,328.0,$-26.00,0.0
2018-06-30,312.0,$-21.50,0.0
2018-03-31,243.5,$-19.00,0.0
2017-12-31,302.0,$-19.00,0.0
2017-09-30,264.5,$-20.00,0.0
2017-06-30,263.5,$-23.00,0.0
2017-03-31,360.0,$-23.50,0.0
2016-12-31,288.5,$-23.50,0.0
2016-09-30,340.5,$-22.50,0.0
2016-06-30,425.0,$-21.50,0.0
2016-03-31,320.0,$-24.00,0.0
2015-12-31,518.5,$-25.00,0.0
2015-09-30,293.0,$-25.00,0.0
2015-06-30,393.0,$-25.50,0.0
2015-03-31,302.5,$-21.00,0.0
2014-12-31,222.5,$-17.50,0.0
2014-09-30,232.0,$-15.50,0.0
2014-06-30,221.0,$-12.50,0.0
2014-03-31,315.5,$-11.50,0.0
2013-12-31,260.5,$-11.50,0.0
2013-09-30,146.5,$-11.00,0.0
2013-06-30,151.5,$-10.00,0.0
2013-03-31,90.0,$-7.50,0.0
2012-12-31,155.0,$-4.50,0.0
2012-09-30,172.5,$-2.00,0.0
2012-06-30,140.0,0,0.0
2012-03-31,120.0,0,0.0
2011-12-31,75.0,0,0.0
