VAREX IMAGING PE Ratio Historical Data,VAREX IMAGING PE Ratio Historical Data,VAREX IMAGING PE Ratio Historical Data,VAREX IMAGING PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.86,,0.0
2024-12-31,14.59,$-1.17,0.0
2024-09-30,11.92,$-1.17,0.0
2024-06-30,14.73,$0.71,20.75
2024-03-31,18.1,$0.89,20.34
2023-12-31,20.5,$0.96,21.35
2023-09-30,18.79,$1.05,17.9
2023-06-30,23.57,$0.71,33.2
2023-03-31,18.19,$0.70,25.99
2022-12-31,20.3,$0.78,26.03
2022-09-30,21.14,$0.73,28.96
2022-06-30,21.39,$0.61,35.07
2022-03-31,21.29,$0.70,30.41
2021-12-31,31.55,$0.60,52.58
2021-09-30,28.2,$0.41,68.78
2021-06-30,26.82,$-0.45,0.0
2021-03-31,20.49,$-1.47,0.0
2020-12-31,16.68,$-1.60,0.0
2020-09-30,12.72,$-1.47,0.0
2020-06-30,15.15,$-0.57,0.0
2020-03-31,22.71,$0.12,189.25
2019-12-31,29.81,$0.32,93.16
2019-09-30,28.54,$0.43,66.37
2019-06-30,30.65,$0.20,153.25
2019-03-31,33.88,$0.34,99.65
2018-12-31,23.68,$0.51,46.43
2018-09-30,28.66,$0.73,39.26
2018-06-30,37.09,$1.11,33.41
2018-03-31,35.78,$1.29,27.74
2017-12-31,40.17,$1.37,29.32
