VOXX PE Ratio Historical Data,VOXX PE Ratio Historical Data,VOXX PE Ratio Historical Data,VOXX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.49,,0.0
2024-11-30,7.81,$-3.09,0.0
2024-08-31,5.49,$-1.11,0.0
2024-05-31,3.69,$-1.68,0.0
2024-02-29,8.5,$-1.73,0.0
2023-11-30,10.74,$-1.64,0.0
2023-08-31,8.64,$-1.42,0.0
2023-05-31,9.68,$-1.37,0.0
2023-02-28,11.43,$-1.19,0.0
2022-11-30,10.99,$-0.28,0.0
2022-08-31,9.64,$-1.74,0.0
2022-05-31,8.38,$-1.31,0.0
2022-02-28,10.73,$-0.93,0.0
2021-11-30,10.29,$-0.66,0.0
2021-08-31,10.47,$1.24,8.44
2021-05-31,15.04,$1.53,9.83
2021-02-28,20.73,$1.08,19.19
2020-11-30,12.87,$-0.20,0.0
2020-08-31,6.28,$-0.84,0.0
2020-05-31,4.77,$-1.38,0.0
2020-02-29,3.71,$-1.09,0.0
2019-11-30,4.64,$-1.69,0.0
2019-08-31,4.4,$-1.29,0.0
2019-05-31,3.57,$-1.90,0.0
2019-02-28,5.0,$-1.89,0.0
2018-11-30,5.02,$0.12,41.83
2018-08-31,5.4,$-0.03,0.0
2018-05-31,5.6,$1.53,3.66
2018-02-28,5.4,$1.44,3.75
2017-11-30,6.75,$0.93,7.26
2017-08-31,8.1,$0.82,9.88
2017-05-31,5.8,$0.23,25.22
2017-02-28,4.95,$0.18,27.5
2016-11-30,4.85,$-0.04,0.0
2016-08-31,3.07,$0.04,76.75
2016-05-31,3.31,$-0.26,0.0
2016-02-29,3.99,$-0.11,0.0
2015-11-30,5.74,$-0.49,0.0
2015-08-31,7.75,$-0.17,0.0
2015-05-31,8.55,$-0.10,0.0
2015-02-28,8.6,$-0.05,0.0
2014-11-30,8.41,$-1.46,0.0
2014-08-31,9.9,$-1.47,0.0
2014-05-31,8.67,$-1.16,0.0
2014-02-28,13.0,$-1.09,0.0
2013-11-30,17.84,$1.35,13.21
2013-08-31,12.16,$1.28,9.5
2013-05-31,11.12,$1.24,8.97
2013-02-28,9.95,$0.95,10.47
2012-11-30,6.74,$0.98,6.88
2012-08-31,7.5,$0.80,9.38
2012-05-31,9.86,$0.79,12.48
2012-02-29,12.79,$1.10,11.63
2011-11-30,7.24,$1.39,5.21
2011-08-31,6.41,$1.18,5.43
2011-05-31,7.61,$1.06,7.18
2011-02-28,8.28,$1.00,8.28
2010-11-30,6.85,$0.54,12.69
2010-08-31,6.33,$0.92,6.88
2010-05-31,8.17,$1.01,8.09
2010-02-28,7.22,$0.98,7.37
2009-11-30,7.37,$-2.37,0.0
