Robinhood Markets PE Ratio Historical Data,Robinhood Markets PE Ratio Historical Data,Robinhood Markets PE Ratio Historical Data,Robinhood Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.66,,27.81
2024-12-31,37.26,$1.57,23.73
2024-09-30,23.42,$0.59,39.69
2024-06-30,22.71,$0.33,68.82
2024-03-31,20.13,$0.15,134.2
2023-12-31,12.74,$-0.60,0.0
2023-09-30,9.81,$-0.82,0.0
2023-06-30,9.98,$-0.93,0.0
2023-03-31,9.71,$-1.30,0.0
2022-12-31,8.14,$-6.99,0.0
2022-09-30,10.1,$-7.29,0.0
2022-06-30,8.22,$-9.15,0.0
