Regulus Therapeutics PE Ratio Historical Data,Regulus Therapeutics PE Ratio Historical Data,Regulus Therapeutics PE Ratio Historical Data,Regulus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.36,,0.0
2024-12-31,1.58,$-0.67,0.0
2024-09-30,1.57,$-1.07,0.0
2024-06-30,1.79,$-1.26,0.0
2024-03-31,2.88,$-1.46,0.0
2023-12-31,1.28,$-1.59,0.0
2023-09-30,1.37,$-1.59,0.0
2023-06-30,1.47,$-1.69,0.0
2023-03-31,0.85,$-1.82,0.0
2022-12-31,1.37,$-1.90,0.0
2022-09-30,1.7,$-2.20,0.0
2022-06-30,2.07,$-2.70,0.0
2022-03-31,2.98,$-3.00,0.0
2021-12-31,3.15,$-3.30,0.0
2021-09-30,6.91,$-2.90,0.0
2021-06-30,8.13,$-2.30,0.0
2021-03-31,15.6,$-3.80,0.0
2020-12-31,13.5,$-5.50,0.0
2020-09-30,5.14,$-7.50,0.0
2020-06-30,6.82,$-9.70,0.0
2020-03-31,4.61,$-10.40,0.0
2019-12-31,8.9,$-11.00,0.0
2019-09-30,7.2,$-18.50,0.0
2019-06-30,12.5,$-27.70,0.0
2019-03-31,10.2,$-40.31,0.0
2018-12-31,9.31,$-55.21,0.0
2018-09-30,23.71,$-62.22,0.0
2018-06-30,79.1,$-72.03,0.0
2018-03-31,86.1,$-105.64,0.0
2017-12-31,124.8,$-133.25,0.0
2017-09-30,150.0,$-162.07,0.0
2017-06-30,118.27,$-184.87,0.0
2017-03-31,198.0,$-183.67,0.0
2016-12-31,270.0,$-186.07,0.0
2016-09-30,396.0,$-157.26,0.0
2016-06-30,346.8,$-142.86,0.0
2016-03-31,831.6,$-144.06,0.0
2015-12-31,1046.4,$-130.85,0.0
2015-09-30,785.4,$-170.47,0.0
2015-06-30,1315.2,$-171.67,0.0
2015-03-31,2032.8,$-157.26,0.0
2014-12-31,1924.8,$-158.46,0.0
2014-09-30,819.6,$-115.25,0.0
2014-06-30,964.8,$-92.44,0.0
2014-03-31,1082.4,$-81.63,0.0
2013-12-31,886.8,$-69.63,0.0
2013-09-30,1131.6,$-82.83,0.0
