Enact Holdings PE Ratio Historical Data,Enact Holdings PE Ratio Historical Data,Enact Holdings PE Ratio Historical Data,Enact Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.97,,7.77
2024-12-31,32.38,$4.37,7.41
2024-09-30,36.33,$4.30,8.45
2024-06-30,30.66,$4.17,7.35
2024-03-31,31.18,$4.05,7.7
2023-12-31,28.89,$4.12,7.01
2023-09-30,27.23,$4.02,6.77
2023-06-30,25.13,$4.17,6.03
2023-03-31,22.86,$4.38,5.22
2022-12-31,24.12,$4.31,5.6
2022-09-30,22.17,$4.37,5.07
2022-06-30,21.37,$4.04,5.29
