F&G Annuities & Life PE Ratio Historical Data,F&G Annuities & Life PE Ratio Historical Data,F&G Annuities & Life PE Ratio Historical Data,F&G Annuities & Life PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.44,,7.51
2024-12-31,41.44,$4.85,8.54
2024-09-30,44.72,$-0.06,0.0
2024-06-30,38.05,$2.47,15.4
2024-03-31,40.55,$1.96,20.69
2023-12-31,46.0,$-0.48,0.0
2023-09-30,28.06,$1.13,24.83
