West Bancorporation PE Ratio Historical Data,West Bancorporation PE Ratio Historical Data,West Bancorporation PE Ratio Historical Data,West Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.45,,14.3
2024-12-31,21.65,$1.43,15.14
2024-09-30,18.82,$1.28,14.7
2024-06-30,17.47,$1.28,13.65
2024-03-31,17.16,$1.32,13.0
2023-12-31,20.11,$1.44,13.97
2023-09-30,15.25,$1.70,8.97
2023-06-30,16.99,$2.04,8.33
2023-03-31,16.59,$2.44,6.8
2022-12-31,22.94,$2.75,8.34
2022-09-30,18.48,$2.93,6.31
2022-06-30,21.4,$3.00,7.13
2022-03-31,23.68,$3.04,7.79
2021-12-31,26.81,$2.96,9.06
2021-09-30,25.73,$2.77,9.29
2021-06-30,23.59,$2.50,9.44
2021-03-31,20.3,$2.19,9.27
2020-12-31,16.1,$1.98,8.13
2020-09-30,13.07,$1.92,6.81
2020-06-30,14.25,$1.89,7.54
2020-03-31,13.15,$1.82,7.23
2019-12-31,20.44,$1.75,11.68
2019-09-30,17.18,$1.73,9.93
2019-06-30,16.6,$1.70,9.77
2019-03-31,16.02,$1.70,9.42
2018-12-31,14.65,$1.73,8.47
2018-09-30,17.87,$1.55,11.53
2018-06-30,18.97,$1.51,12.56
2018-03-31,19.15,$1.49,12.85
2017-12-31,18.68,$1.41,13.25
2017-09-30,17.99,$1.52,11.83
2017-06-30,17.29,$1.49,11.61
2017-03-31,16.65,$1.44,11.57
2016-12-31,17.79,$1.42,12.53
2016-09-30,13.99,$1.42,9.85
2016-06-30,13.16,$1.40,9.4
2016-03-31,12.78,$1.39,9.19
2015-12-31,13.72,$1.36,10.09
2015-09-30,12.92,$1.35,9.57
2015-06-30,13.56,$1.33,10.2
2015-03-31,13.48,$1.30,10.37
2014-12-31,11.44,$1.25,9.16
2014-09-30,9.42,$1.16,8.12
2014-06-30,10.07,$1.11,9.07
2014-03-31,9.96,$1.06,9.4
2013-12-31,10.29,$1.02,10.09
2013-09-30,8.91,$0.97,9.18
2013-06-30,7.52,$0.92,8.18
2013-03-31,7.04,$0.92,7.65
2012-12-31,6.78,$0.92,7.37
2012-09-30,7.5,$0.91,8.25
2012-06-30,5.86,$0.87,6.74
2012-03-31,6.11,$0.74,8.26
2011-12-31,5.81,$0.74,7.85
2011-09-30,5.11,$0.70,7.29
2011-06-30,5.28,$0.71,7.43
2011-03-31,4.75,$0.71,6.69
2010-12-31,4.64,$0.64,7.24
2010-09-30,3.72,$0.60,6.21
2010-06-30,4.02,$0.49,8.21
2010-03-31,3.89,$-0.95,0.0
2009-12-31,2.91,$-0.97,0.0
