"MARKER THERAPEUTICS, INC PE Ratio Historical Data","MARKER THERAPEUTICS, INC PE Ratio Historical Data","MARKER THERAPEUTICS, INC PE Ratio Historical Data","MARKER THERAPEUTICS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,0.0
2024-09-30,2.82,$-0.78,0.0
2024-06-30,5.43,$-0.86,0.0
2024-03-31,4.3,$-0.32,0.0
2023-12-31,5.5,$-0.62,0.0
2023-09-30,4.54,$-0.62,0.0
2023-06-30,3.1,$-1.08,0.0
2023-03-31,0.71,$-2.47,0.0
2022-12-31,2.66,$-3.10,0.0
2022-09-30,3.69,$-4.30,0.0
2022-06-30,3.3,$-5.00,0.0
2022-03-31,4.4,$-5.20,0.0
2021-12-31,9.5,$-5.60,0.0
2021-09-30,16.9,$-6.20,0.0
2021-06-30,27.9,$-6.30,0.0
2021-03-31,22.4,$-6.40,0.0
2020-12-31,14.5,$-6.20,0.0
2020-09-30,15.0,$-5.50,0.0
2020-06-30,20.7,$-5.10,0.0
2020-03-31,19.0,$-4.90,0.0
2019-12-31,28.8,$-4.70,0.0
2019-09-30,51.1,$-70.80,0.0
2019-06-30,79.2,$-72.80,0.0
2019-03-31,66.0,$-75.70,0.0
2018-12-31,55.5,$-77.50,0.0
2018-09-30,90.5,$-12.80,0.0
2018-06-30,94.3,$-13.50,0.0
2018-03-31,33.8,$-11.60,0.0
2017-12-31,39.2,$-11.50,0.0
2017-09-30,30.1,$-10.80,0.0
