Verastem PE Ratio Historical Data,Verastem PE Ratio Historical Data,Verastem PE Ratio Historical Data,Verastem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.82,,0.0
2024-09-30,2.99,$-3.19,0.0
2024-06-30,2.98,$-3.34,0.0
2024-03-31,11.8,$-4.40,0.0
2023-12-31,8.14,$-4.10,0.0
2023-09-30,8.13,$-4.04,0.0
2023-06-30,7.44,$-4.37,0.0
2023-03-31,4.98,$-4.44,0.0
2022-12-31,4.83,$-4.56,0.0
2022-09-30,10.2,$-4.68,0.0
2022-06-30,13.92,$-5.16,0.0
2022-03-31,16.92,$-4.92,0.0
2021-12-31,24.6,$-4.92,0.0
2021-09-30,36.96,$-5.28,0.0
2021-06-30,48.84,$-2.76,0.0
2021-03-31,29.64,$-3.24,0.0
2020-12-31,25.56,$-6.36,0.0
2020-09-30,14.52,$-11.04,0.0
2020-06-30,20.64,$-16.93,0.0
2020-03-31,31.68,$-22.09,0.0
2019-12-31,16.08,$-24.13,0.0
2019-09-30,14.52,$-22.45,0.0
2019-06-30,18.12,$-21.01,0.0
2019-03-31,35.52,$-17.77,0.0
2018-12-31,40.32,$-16.45,0.0
2018-09-30,87.0,$-17.17,0.0
2018-06-30,82.56,$-21.01,0.0
2018-03-31,35.76,$-21.73,0.0
2017-12-31,36.84,$-21.01,0.0
2017-09-30,56.4,$-19.69,0.0
2017-06-30,26.16,$-14.89,0.0
2017-03-31,24.84,$-13.33,0.0
2016-12-31,13.44,$-11.76,0.0
2016-09-30,15.96,$-11.76,0.0
2016-06-30,15.6,$-14.29,0.0
2016-03-31,18.96,$-16.57,0.0
2015-12-31,22.32,$-19.45,0.0
2015-09-30,21.48,$-21.97,0.0
2015-06-30,90.48,$-23.17,0.0
2015-03-31,122.04,$-24.25,0.0
2014-12-31,109.68,$-24.85,0.0
2014-09-30,102.24,$-23.89,0.0
2014-06-30,108.72,$-23.29,0.0
2014-03-31,129.48,$-23.05,0.0
2013-12-31,136.8,$-22.21,0.0
2013-09-30,149.4,$-21.49,0.0
2013-06-30,166.56,$-21.97,0.0
2013-03-31,115.44,$-20.17,0.0
2012-12-31,105.48,$-20.53,0.0
