Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.23,,10.67
2024-12-31,73.58,$6.86,10.73
2024-09-30,65.97,$6.63,9.95
2024-06-30,56.49,$6.64,8.51
2024-03-31,50.36,$6.66,7.56
2023-12-31,52.76,$6.09,8.66
2023-09-30,45.9,$6.01,7.64
2023-06-30,46.12,$5.46,8.45
2023-03-31,41.23,$4.54,9.08
2022-12-31,42.74,$4.21,10.15
2022-09-30,32.68,$5.23,6.25
2022-06-30,38.28,$4.92,7.78
2022-03-31,54.31,$5.37,10.11
2021-12-31,58.94,$5.55,10.62
2021-09-30,51.8,$4.39,11.8
2021-06-30,49.92,$4.27,11.69
2021-03-31,44.64,$3.59,12.43
2020-12-31,35.98,$3.20,11.24
2020-09-30,18.89,$2.92,6.47
2020-06-30,17.81,$3.07,5.8
2020-03-31,21.23,$3.29,6.45
2019-12-31,35.63,$2.65,13.44
2019-09-30,31.78,$2.48,12.81
2019-06-30,27.29,$2.19,12.46
2019-03-31,19.11,$1.67,11.42
2018-12-31,18.78,$1.94,9.68
2018-09-30,26.62,$1.71,15.57
2018-06-30,31.32,$1.53,20.43
2018-03-31,35.07,$1.65,21.3
2017-12-31,29.72,$1.71,17.38
2017-09-30,25.12,$1.60,15.73
2017-06-30,28.45,$1.77,16.11
2017-03-31,28.25,$1.77,15.99
2016-12-31,32.8,$1.19,27.64
2016-09-30,19.29,$1.30,14.8
2016-06-30,16.19,$1.28,12.65
2016-03-31,14.45,$1.15,12.53
2015-12-31,14.51,$0.86,16.94
2015-09-30,13.16,$0.89,14.84
2015-06-30,13.48,$0.85,15.79
2015-03-31,12.44,$0.86,14.46
2014-12-31,10.93,$0.82,13.33
2014-09-30,10.96,$0.84,12.99
2014-06-30,12.39,$0.86,14.4
2014-03-31,13.84,$0.85,16.22
2013-12-31,12.41,$0.82,15.13
2013-09-30,11.65,$0.79,14.69
2013-06-30,8.03,$0.69,11.58
2013-03-31,8.06,$0.69,11.63
2012-12-31,6.9,$1.54,4.49
2012-09-30,7.29,$1.67,4.37
2012-06-30,5.92,$1.81,3.27
2012-03-31,6.24,$1.48,4.22
2011-12-31,4.92,$0.74,6.65
2011-09-30,5.53,$0.49,11.21
2011-06-30,5.54,$0.51,10.93
2011-03-31,4.75,$0.99,4.82
2010-12-31,3.94,$1.27,3.1
2010-09-30,9.07,$1.35,6.74
2010-06-30,8.47,$1.01,8.42
2010-03-31,7.1,$0.31,23.15
2009-12-31,5.84,$-0.12,0.0
