Phoenix Motor PE Ratio Historical Data,Phoenix Motor PE Ratio Historical Data,Phoenix Motor PE Ratio Historical Data,Phoenix Motor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.6,,0.0
2024-09-30,0.38,$-0.33,0.0
2024-06-30,0.34,$-0.31,0.0
2024-03-31,0.8,$-0.40,0.0
2023-12-31,1.05,$-0.97,0.0
2023-09-30,1.09,$-0.62,0.0
2023-06-30,0.74,$-0.69,0.0
2023-03-31,0.6,$-0.65,0.0
