America's Car-Mart PE Ratio Historical Data,America's Car-Mart PE Ratio Historical Data,America's Car-Mart PE Ratio Historical Data,America's Car-Mart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.08,,54.02
2025-01-31,48.69,$0.89,54.71
2024-10-31,39.04,$-0.82,0.0
2024-07-31,69.25,$-5.73,0.0
2024-04-30,57.24,$-4.95,0.0
2024-01-31,60.89,$-4.69,0.0
2023-10-31,66.98,$-3.12,0.0
2023-07-31,119.12,$1.66,71.76
2023-04-30,80.39,$3.03,26.53
2023-01-31,86.14,$6.72,12.82
2022-10-31,68.36,$9.26,7.38
2022-07-31,103.57,$12.11,8.55
2022-04-30,80.85,$13.68,5.91
2022-01-31,94.92,$15.86,5.98
2021-10-31,119.49,$15.94,7.5
2021-07-31,159.0,$15.66,10.15
2021-04-30,150.83,$14.92,10.11
2021-01-31,118.78,$10.08,11.78
2020-10-31,86.52,$9.06,9.55
2020-07-31,95.16,$8.01,11.88
2020-04-30,65.95,$7.39,8.92
2020-01-31,109.78,$8.11,13.54
2019-10-31,90.99,$7.83,11.62
2019-07-31,90.16,$7.41,12.17
2019-04-30,99.05,$6.73,14.72
2019-01-31,69.96,$6.09,11.49
2018-10-31,74.9,$6.36,11.78
2018-07-31,64.0,$5.57,11.49
2018-04-30,53.3,$4.94,10.79
2018-01-31,46.1,$4.17,11.06
2017-10-31,42.85,$2.70,15.87
2017-07-31,39.2,$2.53,15.49
2017-04-30,37.3,$2.50,14.92
2017-01-31,41.95,$2.24,18.73
2016-10-31,40.85,$2.36,17.31
2016-07-31,35.08,$1.68,20.88
2016-04-30,26.57,$1.33,19.98
2016-01-31,23.46,$1.74,13.48
2015-10-31,34.24,$2.09,16.38
2015-07-31,46.26,$2.98,15.52
2015-04-30,51.34,$3.25,15.8
2015-01-31,53.11,$3.12,17.02
2014-10-31,45.98,$2.46,18.69
2014-07-31,37.44,$2.24,16.71
2014-04-30,36.14,$2.24,16.13
2014-01-31,38.55,$2.48,15.54
2013-10-31,45.74,$3.16,14.47
2013-07-31,43.28,$3.31,13.08
2013-04-30,46.27,$3.35,13.81
2013-01-31,39.82,$3.40,11.71
2012-10-31,42.01,$3.29,12.77
2012-07-31,45.88,$3.30,13.9
2012-04-30,45.94,$3.25,14.14
2012-01-31,37.94,$3.06,12.4
2011-10-31,33.38,$2.85,11.71
2011-07-31,33.84,$2.64,12.82
2011-04-30,24.48,$2.56,9.56
2011-01-31,24.94,$2.40,10.39
2010-10-31,26.67,$2.41,11.07
2010-07-31,23.28,$2.38,9.78
2010-04-30,25.33,$2.28,11.11
2010-01-31,23.53,$2.09,11.26
2009-10-31,20.73,$1.87,11.09
