Zapp Electric Vehicles Group PE Ratio Historical Data,Zapp Electric Vehicles Group PE Ratio Historical Data,Zapp Electric Vehicles Group PE Ratio Historical Data,Zapp Electric Vehicles Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.97,,inf
2024-03-31,0.25,0.0,0.0
2022-12-31,10.19,0.0,0.0
2022-09-30,9.92,0.0,0.0
