Horizon Technology Finance PE Ratio Historical Data,Horizon Technology Finance PE Ratio Historical Data,Horizon Technology Finance PE Ratio Historical Data,Horizon Technology Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.31,,0.0
2024-12-31,8.99,$-0.12,0.0
2024-09-30,10.28,$-0.12,0.0
2024-06-30,11.29,$-0.69,0.0
2024-03-31,10.37,$-0.42,0.0
2023-12-31,11.64,$-0.49,0.0
2023-09-30,10.18,$-0.02,0.0
2023-06-30,10.08,$0.58,17.38
2023-03-31,9.16,$0.88,10.41
2022-12-31,9.16,$0.85,10.78
2022-09-30,7.68,$0.81,9.48
2022-06-30,8.64,$1.21,7.14
2022-03-31,10.15,$1.24,8.19
2021-12-31,11.4,$1.39,8.2
2021-09-30,11.41,$1.41,8.09
2021-06-30,11.9,$0.59,20.18
2021-03-31,9.73,$0.72,13.52
2020-12-31,8.77,$0.37,23.71
2020-09-30,7.95,$0.69,11.52
2020-06-30,6.88,$1.26,5.46
2020-03-31,4.98,$1.13,4.41
2019-12-31,7.67,$1.43,5.36
2019-09-30,6.85,$1.26,5.43
2019-06-30,6.66,$1.25,5.33
2019-03-31,6.49,$1.16,5.59
2018-12-31,6.04,$1.13,5.35
2018-09-30,6.02,$1.07,5.63
2018-06-30,5.18,$0.94,5.51
2018-03-31,5.19,$0.75,6.91
2017-12-31,5.45,$0.84,6.49
2017-09-30,5.25,$0.57,9.22
2017-06-30,5.21,$-0.16,0.0
2017-03-31,4.99,$-0.23,0.0
2016-12-31,4.59,$-0.43,0.0
2016-09-30,5.75,$-0.16,0.0
2016-06-30,5.05,$0.63,8.01
2016-03-31,4.66,$0.79,5.9
2015-12-31,4.56,$1.06,4.3
2015-09-30,3.41,$1.16,2.94
2015-06-30,4.63,$1.36,3.41
2015-03-31,4.93,$1.46,3.37
2014-12-31,4.87,$1.60,3.04
2014-09-30,4.57,$0.81,5.64
2014-06-30,4.84,$0.72,6.72
2014-03-31,4.04,$0.59,6.85
2013-12-31,4.48,$0.37,12.1
2013-09-30,4.09,$0.38,10.77
2013-06-30,4.12,$0.37,11.13
2013-03-31,4.27,$0.54,7.91
2012-12-31,4.26,$0.56,7.62
2012-09-30,4.44,$1.12,3.96
2012-06-30,4.41,$1.08,4.08
2012-03-31,4.32,$1.29,3.35
2011-12-31,4.14,$1.44,2.87
2011-09-30,3.61,$1.79,2.02
