Community Healthcare Trust PE Ratio Historical Data,Community Healthcare Trust PE Ratio Historical Data,Community Healthcare Trust PE Ratio Historical Data,Community Healthcare Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.44,,0.0
2024-12-31,19.21,$-0.23,0.0
2024-09-30,17.71,$-0.09,0.0
2024-06-30,22.25,$-0.02,0.0
2024-03-31,24.79,$0.64,38.73
2023-12-31,24.46,$0.21,116.49
2023-09-30,26.81,$0.22,121.87
2023-06-30,29.42,$0.32,91.95
2023-03-31,32.2,$0.29,111.05
2022-12-31,31.16,$0.82,38.0
2022-09-30,28.14,$0.86,32.72
2022-06-30,30.77,$0.85,36.2
2022-03-31,35.44,$0.86,41.21
2021-12-31,39.29,$0.86,45.69
2021-09-30,37.22,$0.84,44.31
2021-06-30,38.74,$0.86,45.05
2021-03-31,37.3,$0.83,44.94
2020-12-31,37.75,$0.80,47.19
2020-09-30,37.14,$0.68,54.62
2020-06-30,32.2,$0.58,55.51
2020-03-31,29.77,$0.48,62.02
2019-12-31,33.06,$0.36,91.83
2019-09-30,34.05,$0.15,226.99
2019-06-30,29.83,$0.13,229.49
2019-03-31,26.87,$0.16,167.95
2018-12-31,21.34,$0.19,112.29
2018-09-30,22.61,$0.39,57.97
2018-06-30,21.52,$0.31,69.43
2018-03-31,18.26,$0.23,79.41
2017-12-31,19.61,$0.21,93.37
2017-09-30,18.55,$0.21,88.33
2017-06-30,17.35,$0.27,64.24
2017-03-31,15.95,$0.27,59.06
2016-12-31,15.11,$0.22,68.67
2016-09-30,14.12,$0.16,88.28
2016-06-30,13.4,$0.07,191.4
2016-03-31,11.48,$-0.39,0.0
