Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,210.25,,39.82
2024-12-31,229.55,$5.28,43.48
2024-09-30,278.02,$5.24,53.06
2024-06-30,249.61,$5.63,44.33
2024-03-31,249.21,$5.90,42.24
2023-12-31,230.61,$6.39,36.09
2023-09-30,246.76,$7.93,31.12
2023-06-30,238.7,$8.52,28.02
2023-03-31,250.39,$9.28,26.98
2022-12-31,263.4,$9.65,27.3
2022-09-30,256.09,$9.05,28.3
2022-06-30,251.12,$8.49,29.58
2022-03-31,290.26,$8.64,33.6
2021-12-31,325.29,$8.62,37.74
2021-09-30,300.8,$7.89,38.12
2021-06-30,264.97,$7.51,35.28
2021-03-31,222.06,$6.35,34.97
2020-12-31,218.95,$4.87,44.96
2020-09-30,212.07,$4.94,42.93
2020-06-30,174.0,$4.67,37.26
2020-03-31,136.05,$4.40,30.92
2019-12-31,150.67,$4.05,37.2
2019-09-30,141.63,$3.37,42.03
2019-06-30,139.98,$3.41,41.05
2019-03-31,129.15,$3.39,38.1
2018-12-31,100.75,$3.73,27.01
2018-09-30,105.99,$3.89,27.25
2018-06-30,96.12,$3.77,25.49
2018-03-31,95.21,$3.61,26.37
2017-12-31,90.11,$3.53,25.53
2017-09-30,83.15,$3.39,24.53
2017-06-30,81.67,$3.14,26.01
2017-03-31,82.64,$3.29,25.12
2016-12-31,75.09,$3.66,20.52
2016-09-30,75.49,$3.58,21.09
2016-06-30,73.62,$5.03,14.64
2016-03-31,69.04,$5.06,13.64
2015-12-31,67.48,$4.76,14.18
2015-09-30,61.82,$4.69,13.18
2015-06-30,62.0,$3.63,17.08
2015-03-31,61.4,$3.61,17.01
2014-12-31,61.89,$3.63,17.05
2014-09-30,54.8,$3.82,14.34
2014-06-30,56.71,$3.71,15.29
2014-03-31,53.95,$3.63,14.86
2013-12-31,55.46,$3.80,14.59
2013-09-30,49.78,$3.58,13.91
2013-06-30,45.44,$3.51,12.95
2013-03-31,44.6,$3.48,12.82
2012-12-31,40.1,$3.36,11.93
2012-09-30,39.54,$3.27,12.09
2012-06-30,37.32,$3.24,11.52
2012-03-31,40.11,$3.34,12.01
2011-12-31,33.68,$3.11,10.83
2011-09-30,30.01,$3.00,10.0
2011-06-30,37.9,$3.21,11.81
2011-03-31,37.1,$2.82,13.16
2010-12-31,33.71,$2.64,12.79
2010-09-30,29.01,$2.35,12.37
2010-06-30,26.5,$1.92,13.8
2010-03-31,28.51,$1.82,15.71
2009-12-31,26.82,$1.73,15.5
