Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.05,,80.03
2024-12-31,116.04,$1.50,77.36
2024-09-30,123.53,$3.16,39.09
2024-06-30,108.21,$3.64,29.73
2024-03-31,96.67,$4.08,23.69
2023-12-31,96.52,$3.70,26.09
2023-09-30,91.05,$2.09,43.56
2023-06-30,103.71,$1.92,54.02
2023-03-31,98.96,$5.62,17.61
2022-12-31,104.59,$5.99,17.46
2022-09-30,110.76,$7.59,14.59
2022-06-30,123.71,$7.61,16.26
2022-03-31,151.83,$3.37,45.05
2021-12-31,162.33,$2.92,55.59
2021-09-30,133.35,$1.19,112.06
2021-06-30,119.31,$1.25,95.45
2021-03-31,98.23,$1.12,87.71
2020-12-31,88.54,$1.24,71.4
2020-09-30,78.18,$1.90,41.15
2020-06-30,79.41,$1.99,39.91
2020-03-31,68.35,$2.25,30.38
2019-12-31,90.62,$2.22,40.82
2019-09-30,94.1,$1.68,56.01
2019-06-30,87.85,$1.64,53.57
2019-03-31,84.76,$1.61,52.65
2018-12-31,72.96,$1.62,45.04
2018-09-30,76.89,$2.12,36.27
2018-06-30,74.26,$2.10,35.36
2018-03-31,68.02,$2.13,31.93
2017-12-31,73.71,$2.10,35.1
2017-09-30,72.63,$1.64,44.29
2017-06-30,67.36,$4.47,15.07
2017-03-31,62.83,$8.96,7.01
2016-12-31,65.05,$9.04,7.2
2016-09-30,64.19,$9.26,6.93
2016-06-30,63.96,$6.46,9.9
2016-03-31,60.3,$1.94,31.08
2015-12-31,54.55,$2.75,19.84
2015-09-30,52.03,$4.06,12.82
2015-06-30,51.79,$4.08,12.69
2015-03-31,53.97,$4.08,13.23
2014-12-31,50.55,$3.26,15.51
2014-09-30,46.49,$2.74,16.97
2014-06-30,47.81,$3.11,15.37
2014-03-31,44.82,$3.52,12.73
2013-12-31,37.49,$3.79,9.89
2013-09-30,40.05,$3.93,10.19
2013-06-30,44.63,$3.48,12.82
2013-03-31,43.92,$2.93,14.99
2012-12-31,43.23,$3.28,13.18
2012-09-30,40.53,$2.30,17.62
2012-06-30,42.16,$2.11,19.98
2012-03-31,40.62,$1.62,25.07
2011-12-31,38.12,$0.65,58.64
2011-09-30,33.56,$0.27,124.29
2011-06-30,38.3,$0.13,294.59
2011-03-31,33.94,$0.39,87.03
2010-12-31,31.96,$0.32,99.88
2010-09-30,28.16,$-1.12,0.0
2010-06-30,23.75,$-1.08,0.0
2010-03-31,23.96,$-0.81,0.0
2009-12-31,24.13,$-0.73,0.0
