NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.2,,14.59
2024-12-31,47.76,$2.96,16.14
2024-09-30,43.93,$2.84,15.47
2024-06-30,38.07,$2.58,14.76
2024-03-31,35.86,$2.59,13.85
2023-12-31,40.6,$2.66,15.26
2023-09-30,30.42,$2.86,10.64
2023-06-30,30.3,$3.22,9.41
2023-03-31,31.78,$3.40,9.35
2022-12-31,40.63,$3.52,11.54
2022-09-30,35.29,$3.54,9.97
2022-06-30,34.68,$3.50,9.91
2022-03-31,33.09,$3.54,9.35
2021-12-31,35.02,$3.55,9.86
2021-09-30,32.58,$3.47,9.39
2021-06-30,32.2,$3.41,9.44
2021-03-31,35.47,$3.05,11.63
2020-12-31,28.32,$2.37,11.95
2020-09-30,23.45,$2.25,10.42
2020-06-30,26.66,$2.18,12.23
2020-03-31,27.84,$2.31,12.05
2019-12-31,34.6,$2.74,12.63
2019-09-30,31.0,$2.73,11.36
2019-06-30,31.54,$2.68,11.77
2019-03-31,30.07,$2.63,11.43
2018-12-31,28.69,$2.56,11.21
2018-09-30,31.83,$2.31,13.78
2018-06-30,31.45,$2.15,14.63
2018-03-31,29.05,$2.00,14.53
2017-12-31,29.94,$1.87,16.01
2017-09-30,29.7,$1.92,15.47
2017-06-30,29.67,$1.86,15.95
2017-03-31,29.58,$1.83,16.16
2016-12-31,33.23,$1.80,18.46
2016-09-30,25.93,$1.78,14.57
2016-06-30,22.42,$1.77,12.67
2016-03-31,20.95,$1.74,12.04
2015-12-31,21.49,$1.72,12.5
2015-09-30,20.62,$1.71,12.06
2015-06-30,19.86,$1.51,13.15
2015-03-31,18.85,$1.70,11.09
2014-12-31,19.59,$1.70,11.52
2014-09-30,16.65,$1.69,9.85
2014-06-30,17.61,$1.88,9.37
2014-03-31,17.76,$1.64,10.83
2013-12-31,18.64,$1.44,12.95
2013-09-30,16.41,$1.42,11.55
2013-06-30,14.98,$1.41,10.62
2013-03-31,15.51,$1.43,10.85
2012-12-31,14.06,$1.63,8.63
2012-09-30,15.15,$1.65,9.18
2012-06-30,14.69,$1.67,8.79
2012-03-31,14.87,$1.70,8.75
2011-12-31,14.77,$1.70,8.69
2011-09-30,12.3,$1.71,7.19
2011-06-30,14.48,$1.68,8.62
2011-03-31,14.77,$1.67,8.85
2010-12-31,15.51,$1.67,9.29
2010-09-30,14.05,$1.65,8.52
2010-06-30,12.87,$1.63,7.9
2010-03-31,14.3,$1.55,9.22
2009-12-31,12.61,$1.54,8.19
