Heritage Insurance Holdings PE Ratio Historical Data,Heritage Insurance Holdings PE Ratio Historical Data,Heritage Insurance Holdings PE Ratio Historical Data,Heritage Insurance Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.78,,10.21
2024-12-31,12.1,$1.35,8.96
2024-09-30,12.24,$2.50,4.9
2024-06-30,7.08,$1.95,3.63
2024-03-31,10.65,$1.64,6.49
2023-12-31,6.52,$1.72,3.79
2023-09-30,6.49,$1.05,6.18
2023-06-30,3.85,$-0.50,0.0
2023-03-31,3.08,$-4.12,0.0
2022-12-31,1.8,$-5.82,0.0
2022-09-30,2.26,$-8.09,0.0
2022-06-30,2.64,$-6.85,0.0
2022-03-31,7.02,$-3.67,0.0
2021-12-31,5.73,$-2.71,0.0
2021-09-30,6.57,$-0.82,0.0
2021-06-30,8.2,$-0.42,0.0
2021-03-31,10.52,$-0.13,0.0
2020-12-31,9.57,$0.33,28.99
2020-09-30,9.5,$0.67,14.17
2020-06-30,12.22,$1.14,10.72
2020-03-31,9.95,$1.01,9.85
2019-12-31,12.24,$0.98,12.49
2019-09-30,13.75,$0.69,19.93
2019-06-30,14.12,$0.64,22.06
2019-03-31,13.32,$0.71,18.77
2018-12-31,13.38,$1.02,13.12
2018-09-30,13.41,$0.69,19.44
2018-06-30,15.03,$0.12,125.27
2018-03-31,13.62,$0.26,52.39
2017-12-31,16.13,$-0.08,0.0
2017-09-30,11.78,$0.01,0.0
2017-06-30,11.56,$0.72,16.06
2017-03-31,11.29,$1.11,10.17
2016-12-31,13.79,$1.14,12.1
2016-09-30,12.63,$1.89,6.69
2016-06-30,10.45,$2.07,5.05
2016-03-31,13.87,$2.29,6.06
2015-12-31,18.9,$3.05,6.2
2015-09-30,17.05,$3.05,5.59
2015-06-30,19.86,$2.83,7.02
2015-03-31,19.02,$2.38,7.99
