Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.76,,4.22
2024-12-31,45.87,$8.47,5.42
2024-09-30,50.15,$10.10,4.97
2024-06-30,66.37,$8.65,7.67
2024-03-31,71.43,$8.22,8.69
2023-12-31,63.04,$8.94,7.05
2023-09-30,72.88,$9.03,8.07
2023-06-30,61.24,$12.21,5.02
2023-03-31,58.5,$15.97,3.66
2022-12-31,47.99,$14.58,3.29
2022-09-30,45.95,$13.75,3.34
2022-06-30,40.78,$10.32,3.95
2022-03-31,45.7,$4.01,11.4
2021-12-31,36.7,$2.93,12.52
2021-09-30,35.59,$3.36,10.59
2021-06-30,34.69,$2.21,15.7
2021-03-31,26.14,$1.17,22.35
2020-12-31,14.14,$4.98,2.84
2020-09-30,13.76,$1.95,7.05
2020-06-30,10.84,$3.53,3.07
2020-03-31,8.23,$7.39,1.11
2019-12-31,17.08,$3.25,5.25
2019-09-30,16.38,$3.39,4.83
2019-06-30,15.28,$3.75,4.07
2019-03-31,16.6,$2.00,8.3
2018-12-31,15.12,$3.02,5.01
2018-09-30,21.79,$2.74,7.95
2018-06-30,27.71,$0.85,32.6
2018-03-31,20.28,$2.28,8.89
2017-12-31,20.19,$-0.31,0.0
2017-09-30,24.14,$-153.96,0.0
2017-06-30,23.2,$-233.95,0.0
2017-03-31,94.72,$-347.98,0.0
2016-12-31,83.28,$-453.93,0.0
2016-09-30,83.28,"$-1,657.30",0.0
2016-06-30,164.12,"$-1,830.34",0.0
2016-03-31,129.83,"$-1,811.24",0.0
2015-12-31,430.3,"$-1,749.44",0.0
2015-09-30,332.32,$-511.24,0.0
2015-06-30,1490.13,$-125.84,0.0
2015-03-31,2013.52,$-29.21,0.0
2014-12-31,1959.63,$55.06,35.59
2014-09-30,4645.95,$244.94,18.97
2014-06-30,4669.63,$161.80,28.86
2014-03-31,3625.31,$198.88,18.23
2013-12-31,3549.37,$192.14,18.47
2013-09-30,3940.48,$157.30,25.05
2013-06-30,2895.35,$117.98,24.54
2013-03-31,3157.45,$138.20,22.85
2012-12-31,2269.08,$131.46,17.26
2012-09-30,1923.7,$94.38,20.38
