Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data,Entegris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.05,,51.32
2024-12-31,99.06,$1.93,51.33
2024-09-30,112.42,$1.51,74.45
2024-06-30,135.16,$1.22,110.79
2024-03-31,140.18,$2.08,67.4
2023-12-31,119.42,$1.19,100.35
2023-09-30,93.49,$1.32,70.83
2023-06-30,110.22,$0.60,183.7
2023-03-31,81.46,$0.02,4072.93
2022-12-31,65.07,$1.53,42.53
2022-09-30,82.26,$2.02,40.72
2022-06-30,91.2,$3.38,26.98
2022-03-31,129.82,$3.30,39.34
2021-12-31,136.95,$3.00,45.65
2021-09-30,124.35,$2.76,45.05
2021-06-30,121.37,$2.48,48.94
2021-03-31,110.27,$2.33,47.33
2020-12-31,94.71,$2.16,43.85
2020-09-30,73.19,$1.95,37.53
2020-06-30,58.07,$1.67,34.77
2020-03-31,43.96,$2.08,21.13
2019-12-31,49.11,$1.87,26.26
2019-09-30,46.07,$2.02,22.8
2019-06-30,36.47,$2.06,17.7
2019-03-31,34.81,$1.53,22.75
2018-12-31,27.21,$1.69,16.1
2018-09-30,28.16,$0.92,30.61
2018-06-30,32.92,$0.86,38.27
2018-03-31,33.72,$0.76,44.36
2017-12-31,29.44,$0.59,49.9
2017-09-30,27.83,$0.97,28.7
2017-06-30,21.18,$0.84,25.21
2017-03-31,22.58,$0.79,28.58
2016-12-31,17.27,$0.67,25.78
2016-09-30,16.81,$0.61,27.55
2016-06-30,13.96,$0.63,22.16
2016-03-31,13.14,$0.57,23.05
2015-12-31,12.8,$0.57,22.46
2015-09-30,12.73,$0.52,24.47
2015-06-30,14.06,$0.34,41.34
2015-03-31,13.21,$0.06,220.13
2014-12-31,12.74,$0.05,254.9
2014-09-30,11.1,$0.15,73.97
2014-06-30,13.26,$0.29,45.73
2014-03-31,11.68,$0.54,21.64
2013-12-31,11.18,$0.56,19.97
2013-09-30,9.8,$0.47,20.86
2013-06-30,9.05,$0.47,19.26
2013-03-31,9.51,$0.49,19.41
2012-12-31,8.86,$0.50,17.71
2012-09-30,7.84,$0.72,10.89
2012-06-30,8.24,$0.75,10.99
2012-03-31,9.01,$0.83,10.86
2011-12-31,8.42,$0.92,9.15
2011-09-30,6.16,$0.82,7.51
2011-06-30,9.76,$0.83,11.76
2011-03-31,8.47,$0.73,11.6
2010-12-31,7.21,$0.63,11.44
2010-09-30,4.51,$0.51,8.83
2010-06-30,3.83,$0.27,14.19
2010-03-31,4.85,$-0.07,0.0
2009-12-31,5.09,$-0.53,0.0
